Buffet: No. AoA Cl l_bound ubound
34 2.8500 1.0446 [2.8500,2.8600]
Cruise: No. AoA Cl/Cd Cl_error
15 1.3661 34.3370 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   1.6641600e-01   1.0241245e-02   -1.5061869e-01
 2   -1.7500   2.1379092e-01   1.0287110e-02   -1.5191830e-01
 3   -1.5000   2.6079040e-01   1.0360630e-02   -1.5319480e-01
 4   -1.2500   3.0751140e-01   1.0460315e-02   -1.5442908e-01
 5   -1.0000   3.5403875e-01   1.0586050e-02   -1.5560409e-01
 6   -0.7500   4.0045150e-01   1.0738020e-02   -1.5669750e-01
 7   -0.5000   4.4688777e-01   1.0918010e-02   -1.5769630e-01
 8   -0.2500   4.9343874e-01   1.1153730e-02   -1.5860646e-01
 9   0.0000   5.4020400e-01   1.1484980e-02   -1.5948130e-01
10   0.2500   5.8731570e-01   1.1938780e-02   -1.6040520e-01
11   0.5000   6.3491567e-01   1.2535150e-02   -1.6148100e-01
12   0.7500   6.8290649e-01   1.3293610e-02   -1.6276430e-01
13   1.0000   7.3093904e-01   1.4243920e-02   -1.6423400e-01
14   1.2500   7.7843910e-01   1.5414730e-02   -1.6570830e-01
15   1.3661   7.9993006e-01   1.6048263e-02   -1.6627570e-01
16   1.5000   8.2419315e-01   1.6867590e-02   -1.6691380e-01
17   1.6000   8.4129624e-01   1.7098870e-02   -1.6627440e-01
18   1.7000   8.6108855e-01   1.7186880e-02   -1.6527348e-01
19   1.8000   8.8147710e-01   1.7558585e-02   -1.6478560e-01
20   1.9000   9.0162301e-01   1.8163461e-02   -1.6466250e-01
21   2.0000   9.2122772e-01   1.8967698e-02   -1.6479560e-01
22   2.1000   9.4020947e-01   1.9944147e-02   -1.6511530e-01
23   2.2000   9.5861940e-01   2.1075430e-02   -1.6559970e-01
24   2.3000   9.7608204e-01   2.2335920e-02   -1.6614220e-01
25   2.4000   9.9201025e-01   2.3685211e-02   -1.6657320e-01
26   2.5000   1.0062520e+00   2.5104360e-02   -1.6683427e-01
27   2.6000   1.0190930e+00   2.6584060e-02   -1.6695600e-01
28   2.7000   1.0305588e+00   2.8109680e-02   -1.6690990e-01
29   2.8000   1.0402922e+00   2.9645149e-02   -1.6657183e-01
30   2.8100   1.0411533e+00   2.9798572e-02   -1.6651899e-01
31   2.8200   1.0420220e+00   2.9953284e-02   -1.6646965e-01
32   2.8300   1.0428967e+00   3.0109218e-02   -1.6642338e-01
33   2.8400   1.0437660e+00   3.0265743e-02   -1.6637706e-01
34   2.8500   1.0446310e+00   3.0422900e-02   -1.6633090e-01
35   2.8600   1.0454880e+00   3.0580430e-02   -1.6628390e-01
36   2.8700   1.0463425e+00   3.0738552e-02   -1.6623721e-01
37   2.8800   1.0471932e+00   3.0897197e-02   -1.6619068e-01
38   2.8900   1.0480380e+00   3.1056268e-02   -1.6614360e-01
39   2.9000   1.0488665e+00   3.1215223e-02   -1.6609331e-01
40   2.9100   1.0496900e+00   3.1374636e-02   -1.6604285e-01
41   2.9200   1.0505128e+00   3.1534712e-02   -1.6599328e-01
42   2.9400   1.0521350e+00   3.1855854e-02   -1.6589165e-01
43   2.9600   1.0537160e+00   3.2177340e-02   -1.6578303e-01
44   2.9800   1.0552784e+00   3.2500207e-02   -1.6567356e-01
45   3.0000   1.0567850e+00   3.2822469e-02   -1.6555358e-01
46   3.1000   1.0628891e+00   3.4394868e-02   -1.6465930e-01
47   3.2000   1.0686750e+00   3.6014020e-02   -1.6378500e-01
48   3.3000   1.0730540e+00   3.7598032e-02   -1.6264181e-01
49   3.4000   1.0767395e+00   3.9196096e-02   -1.6142251e-01
50   3.5000   1.0796613e+00   4.0791996e-02   -1.6011851e-01
51   3.6000   1.0820980e+00   4.2393498e-02   -1.5876670e-01
52   3.7000   1.0833716e+00   4.3959805e-02   -1.5723009e-01
