Buffet: No. AoA Cl l_bound ubound
39 3.1100 1.0506 [3.1100,3.1100]
Cruise: No. AoA Cl/Cd Cl_error
17 1.6631 27.9466 0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   9.4567755e-02   1.0052020e-02   -1.2206969e-01
 2   -1.7500   1.4233906e-01   1.0051930e-02   -1.2355200e-01
 3   -1.5000   1.8970910e-01   1.0080450e-02   -1.2498200e-01
 4   -1.2500   2.3676390e-01   1.0136080e-02   -1.2634060e-01
 5   -1.0000   2.8358276e-01   1.0218065e-02   -1.2760910e-01
 6   -0.7500   3.3023863e-01   1.0325590e-02   -1.2876500e-01
 7   -0.5000   3.7679788e-01   1.0459260e-02   -1.2978050e-01
 8   -0.2500   4.2337667e-01   1.0618730e-02   -1.3063200e-01
 9   0.0000   4.7007780e-01   1.0805128e-02   -1.3127180e-01
10   0.2500   5.1706982e-01   1.1031599e-02   -1.3161330e-01
11   0.5000   5.6442850e-01   1.1372406e-02   -1.3161040e-01
12   0.7500   6.1248607e-01   1.1908594e-02   -1.3138145e-01
13   1.0000   6.6163651e-01   1.2694140e-02   -1.3113379e-01
14   1.2500   7.1228890e-01   1.3753580e-02   -1.3104480e-01
15   1.5000   7.6490587e-01   1.5190598e-02   -1.3142560e-01
16   1.6000   7.8632940e-01   1.5900520e-02   -1.3178177e-01
17   1.6631   8.0005960e-01   1.6394830e-02   -1.3210750e-01
18   1.7000   8.0804224e-01   1.6697620e-02   -1.3231380e-01
19   1.8000   8.3010824e-01   1.7600110e-02   -1.3307969e-01
20   1.9000   8.5149831e-01   1.8587243e-02   -1.3389270e-01
21   2.0000   8.7346227e-01   1.9700210e-02   -1.3503160e-01
22   2.1000   8.9430836e-01   2.0901070e-02   -1.3615610e-01
23   2.2000   9.1488610e-01   2.2218800e-02   -1.3744423e-01
24   2.3000   9.3511392e-01   2.3652199e-02   -1.3887927e-01
25   2.4000   9.5418796e-01   2.5177640e-02   -1.4027537e-01
26   2.5000   9.7185403e-01   2.6780695e-02   -1.4155290e-01
27   2.6000   9.8866066e-01   2.8472200e-02   -1.4281640e-01
28   2.7000   1.0039900e+00   3.0214290e-02   -1.4387617e-01
29   2.8000   1.0175489e+00   3.1986668e-02   -1.4466225e-01
30   2.9000   1.0294910e+00   3.3773476e-02   -1.4516234e-01
31   3.0000   1.0402560e+00   3.5586808e-02   -1.4548306e-01
32   3.0200   1.0422590e+00   3.5951589e-02   -1.4552250e-01
33   3.0400   1.0442157e+00   3.6316931e-02   -1.4555428e-01
34   3.0600   1.0461149e+00   3.6682080e-02   -1.4557522e-01
35   3.0700   1.0470420e+00   3.6864448e-02   -1.4558129e-01
36   3.0800   1.0479526e+00   3.7046572e-02   -1.4558389e-01
37   3.0900   1.0488460e+00   3.7228512e-02   -1.4558317e-01
38   3.1000   1.0497314e+00   3.7410816e-02   -1.4558165e-01
39   3.1100   1.0506046e+00   3.7593229e-02   -1.4557813e-01
40   3.1200   1.0514660e+00   3.7775743e-02   -1.4557271e-01
41   3.1300   1.0523080e+00   3.7957910e-02   -1.4556315e-01
42   3.1400   1.0531360e+00   3.8140045e-02   -1.4555110e-01
43   3.1500   1.0539562e+00   3.8322442e-02   -1.4553812e-01
44   3.1600   1.0547671e+00   3.8505029e-02   -1.4552377e-01
45   3.1700   1.0555661e+00   3.8687650e-02   -1.4550742e-01
46   3.1800   1.0563460e+00   3.8869854e-02   -1.4548702e-01
47   3.2000   1.0578608e+00   3.9233486e-02   -1.4543686e-01
48   3.3000   1.0648166e+00   4.1052364e-02   -1.4508062e-01
49   3.4000   1.0706168e+00   4.2857588e-02   -1.4451161e-01
50   3.5000   1.0749763e+00   4.4630899e-02   -1.4367704e-01
51   3.6000   1.0789770e+00   4.6432298e-02   -1.4283157e-01
52   3.7000   1.0815830e+00   4.8186682e-02   -1.4173348e-01
53   3.8000   1.0839071e+00   4.9962156e-02   -1.4064400e-01
54   3.9000   1.0854781e+00   5.1719630e-02   -1.3945713e-01
55   4.0000   1.0863228e+00   5.3460451e-02   -1.3817727e-01
