Buffet: No. AoA Cl l_bound ubound
39 3.1100 1.0627 [3.1100,3.1100]
Cruise: No. AoA Cl/Cd Cl_error
16 1.5951 31.7685 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   1.1620080e-01   1.0236620e-02   -1.3431270e-01
 2   -1.7500   1.6397590e-01   1.0250011e-02   -1.3589870e-01
 3   -1.5000   2.1132430e-01   1.0291950e-02   -1.3744390e-01
 4   -1.2500   2.5832319e-01   1.0360947e-02   -1.3892720e-01
 5   -1.0000   3.0502737e-01   1.0456720e-02   -1.4032590e-01
 6   -0.7500   3.5151670e-01   1.0578683e-02   -1.4162380e-01
 7   -0.5000   3.9787031e-01   1.0726180e-02   -1.4280310e-01
 8   -0.2500   4.4415023e-01   1.0899820e-02   -1.4383876e-01
 9   0.0000   4.9044508e-01   1.1099880e-02   -1.4470540e-01
10   0.2500   5.3684151e-01   1.1327060e-02   -1.4536630e-01
11   0.5000   5.8349755e-01   1.1582160e-02   -1.4578285e-01
12   0.7500   6.3058650e-01   1.1871689e-02   -1.4589190e-01
13   1.0000   6.7830760e-01   1.2222460e-02   -1.4562070e-01
14   1.2500   7.2725852e-01   1.2543700e-02   -1.4446337e-01
15   1.5000   7.7952122e-01   1.3170943e-02   -1.4328720e-01
16   1.5951   7.9999897e-01   1.3565640e-02   -1.4304120e-01
17   1.6000   8.0106565e-01   1.3588880e-02   -1.4303425e-01
18   1.7000   8.2287130e-01   1.4119730e-02   -1.4299010e-01
19   1.8000   8.4488523e-01   1.4771620e-02   -1.4319960e-01
20   1.9000   8.6703607e-01   1.5554290e-02   -1.4369635e-01
21   2.0000   8.8921579e-01   1.6479043e-02   -1.4449540e-01
22   2.1000   9.1003554e-01   1.7514660e-02   -1.4530950e-01
23   2.2000   9.3139730e-01   1.8716310e-02   -1.4654033e-01
24   2.3000   9.5103425e-01   2.0021397e-02   -1.4768324e-01
25   2.4000   9.6970163e-01   2.1445350e-02   -1.4886958e-01
26   2.5000   9.8729165e-01   2.2975560e-02   -1.5004213e-01
27   2.6000   1.0025040e+00   2.4551700e-02   -1.5086080e-01
28   2.7000   1.0178680e+00   2.6252330e-02   -1.5189300e-01
29   2.8000   1.0305954e+00   2.7954483e-02   -1.5243484e-01
30   2.9000   1.0422564e+00   2.9702477e-02   -1.5283545e-01
31   3.0000   1.0526713e+00   3.1478769e-02   -1.5304008e-01
32   3.0200   1.0546140e+00   3.1836663e-02   -1.5305823e-01
33   3.0400   1.0564985e+00   3.2194610e-02   -1.5306531e-01
34   3.0600   1.0583424e+00   3.2553510e-02   -1.5306625e-01
35   3.0700   1.0592460e+00   3.2733106e-02   -1.5306347e-01
36   3.0800   1.0601377e+00   3.2912801e-02   -1.5305848e-01
37   3.0900   1.0610140e+00   3.3092449e-02   -1.5305055e-01
38   3.1000   1.0618833e+00   3.3272468e-02   -1.5304190e-01
39   3.1100   1.0627449e+00   3.3452809e-02   -1.5303222e-01
40   3.1200   1.0635934e+00   3.3633203e-02   -1.5302024e-01
41   3.1300   1.0644320e+00   3.3813722e-02   -1.5300652e-01
42   3.1400   1.0652581e+00   3.3994223e-02   -1.5299043e-01
43   3.1500   1.0660740e+00   3.4174868e-02   -1.5297263e-01
44   3.1600   1.0668790e+00   3.4355593e-02   -1.5295286e-01
45   3.1700   1.0676760e+00   3.4536493e-02   -1.5293193e-01
46   3.1800   1.0684650e+00   3.4717589e-02   -1.5290984e-01
47   3.2000   1.0700060e+00   3.5079540e-02   -1.5285838e-01
48   3.3000   1.0771170e+00   3.6891307e-02   -1.5249710e-01
49   3.4000   1.0826280e+00   3.8666832e-02   -1.5180407e-01
50   3.5000   1.0873890e+00   4.0456596e-02   -1.5100963e-01
51   3.6000   1.0910097e+00   4.2211144e-02   -1.4998281e-01
52   3.7000   1.0944247e+00   4.4009810e-02   -1.4901152e-01
53   3.8000   1.0964048e+00   4.5744120e-02   -1.4774377e-01
54   3.9000   1.0982858e+00   4.7513834e-02   -1.4653678e-01
