Buffet: No. AoA Cl l_bound ubound
42 3.4000 1.0484 [3.4000,3.4000]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9945 28.3589 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   3.0578456e-02   1.0175036e-02   -1.0926900e-01
 2   -1.7500   7.8810979e-02   1.0135188e-02   -1.1103270e-01
 3   -1.5000   1.2657594e-01   1.0126330e-02   -1.1274690e-01
 4   -1.2500   1.7396284e-01   1.0146260e-02   -1.1439634e-01
 5   -1.0000   2.2102100e-01   1.0194120e-02   -1.1595817e-01
 6   -0.7500   2.6782184e-01   1.0269230e-02   -1.1741520e-01
 7   -0.5000   3.1444613e-01   1.0370310e-02   -1.1875280e-01
 8   -0.2500   3.6095460e-01   1.0497670e-02   -1.1994688e-01
 9   0.0000   4.0742018e-01   1.0651290e-02   -1.2097076e-01
10   0.2500   4.5392690e-01   1.0831510e-02   -1.2179060e-01
11   0.5000   5.0058380e-01   1.1039180e-02   -1.2236000e-01
12   0.7500   5.4753123e-01   1.1275628e-02   -1.2260300e-01
13   1.0000   5.9502550e-01   1.1546530e-02   -1.2236730e-01
14   1.2500   6.4361136e-01   1.1919692e-02   -1.2143530e-01
15   1.5000   6.9385335e-01   1.2603980e-02   -1.2007075e-01
16   1.6000   7.1448508e-01   1.3011184e-02   -1.1955600e-01
17   1.7000   7.3547884e-01   1.3506650e-02   -1.1913540e-01
18   1.8000   7.5686141e-01   1.4095593e-02   -1.1885860e-01
19   1.9000   7.7886867e-01   1.4784614e-02   -1.1881290e-01
20   1.9945   7.9994825e-01   1.5527800e-02   -1.1897536e-01
21   2.0000   8.0123568e-01   1.5574290e-02   -1.1900050e-01
22   2.1000   8.2375555e-01   1.6467350e-02   -1.1942597e-01
23   2.2000   8.4632641e-01   1.7470310e-02   -1.2010630e-01
24   2.3000   8.6877569e-01   1.8587862e-02   -1.2103200e-01
25   2.4000   8.9041270e-01   1.9810621e-02   -1.2207910e-01
26   2.5000   9.1195201e-01   2.1165070e-02   -1.2340130e-01
27   2.6000   9.3252137e-01   2.2631030e-02   -1.2479134e-01
28   2.7000   9.5262424e-01   2.4225004e-02   -1.2635926e-01
29   2.8000   9.7096703e-01   2.5898671e-02   -1.2777410e-01
30   2.9000   9.8785852e-01   2.7650480e-02   -1.2906520e-01
31   3.0000   1.0027330e+00   2.9444277e-02   -1.3007114e-01
32   3.1000   1.0169340e+00   3.1318990e-02   -1.3107170e-01
33   3.2000   1.0287480e+00   3.3184840e-02   -1.3162640e-01
34   3.3000   1.0392310e+00   3.5071410e-02   -1.3196610e-01
35   3.3200   1.0411740e+00   3.5450260e-02   -1.3200828e-01
36   3.3400   1.0430670e+00   3.5829508e-02   -1.3204220e-01
37   3.3500   1.0439890e+00   3.6019036e-02   -1.3205450e-01
38   3.3600   1.0449007e+00   3.6208899e-02   -1.3206560e-01
39   3.3700   1.0458030e+00   3.6399092e-02   -1.3207558e-01
40   3.3800   1.0466931e+00   3.6589424e-02   -1.3208350e-01
41   3.3900   1.0475711e+00   3.6779884e-02   -1.3208950e-01
42   3.4000   1.0484340e+00   3.6970230e-02   -1.3209258e-01
43   3.4100   1.0492823e+00   3.7160521e-02   -1.3209292e-01
44   3.4200   1.0501226e+00   3.7351131e-02   -1.3209233e-01
45   3.4300   1.0509480e+00   3.7541663e-02   -1.3208898e-01
46   3.4400   1.0517620e+00   3.7732238e-02   -1.3208372e-01
47   3.4500   1.0525617e+00   3.7922677e-02   -1.3207564e-01
48   3.4600   1.0533500e+00   3.8113143e-02   -1.3206566e-01
49   3.4800   1.0548730e+00   3.8493028e-02   -1.3203464e-01
50   3.5000   1.0563540e+00   3.8872875e-02   -1.3199613e-01
51   3.6000   1.0630915e+00   4.0771010e-02   -1.3168782e-01
52   3.7000   1.0685930e+00   4.2650766e-02   -1.3114967e-01
53   3.8000   1.0726090e+00   4.4493656e-02   -1.3033383e-01
54   3.9000   1.0763913e+00   4.6374373e-02   -1.2954549e-01
55   4.0000   1.0786262e+00   4.8195483e-02   -1.2846546e-01
56   4.1000   1.0806870e+00   5.0046168e-02   -1.2742679e-01
57   4.2000   1.0820932e+00   5.1883246e-02   -1.2631058e-01
