Buffet: No. AoA Cl l_bound ubound
43 3.4100 0.9924 [3.4100,3.4100]
Cruise: No. AoA Cl/Cd Cl_error
23 2.2654 28.7127 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   -3.5499250e-02   1.0158120e-02   -9.2867422e-02
 2   -1.7500   1.3226529e-02   1.0082960e-02   -9.4509620e-02
 3   -1.5000   6.1498334e-02   1.0039982e-02   -9.6147431e-02
 4   -1.2500   1.0939460e-01   1.0026810e-02   -9.7755887e-02
 5   -1.0000   1.5697764e-01   1.0042010e-02   -9.9311647e-02
 6   -0.7500   2.0431000e-01   1.0084874e-02   -1.0079240e-01
 7   -0.5000   2.5145320e-01   1.0154683e-02   -1.0217700e-01
 8   -0.2500   2.9847876e-01   1.0250840e-02   -1.0344552e-01
 9   0.0000   3.4544039e-01   1.0373880e-02   -1.0456809e-01
10   0.2500   3.9242700e-01   1.0523520e-02   -1.0551690e-01
11   0.5000   4.3952930e-01   1.0700560e-02   -1.0624960e-01
12   0.7500   4.8684980e-01   1.0906380e-02   -1.0669820e-01
13   1.0000   5.3457952e-01   1.1149940e-02   -1.0673650e-01
14   1.2500   5.8296637e-01   1.1478300e-02   -1.0618400e-01
15   1.5000   6.3267282e-01   1.2013660e-02   -1.0502780e-01
16   1.6000   6.5317368e-01   1.2316444e-02   -1.0450590e-01
17   1.7000   6.7412003e-01   1.2675480e-02   -1.0400320e-01
18   1.8000   6.9558095e-01   1.3108320e-02   -1.0361131e-01
19   1.9000   7.1743321e-01   1.3621010e-02   -1.0335660e-01
20   2.0000   7.3987906e-01   1.4227230e-02   -1.0333050e-01
21   2.1000   7.6232458e-01   1.4938370e-02   -1.0349980e-01
22   2.2000   7.8506533e-01   1.5772358e-02   -1.0395480e-01
23   2.2654   7.9999194e-01   1.6388830e-02   -1.0440920e-01
24   2.3000   8.0782533e-01   1.6739950e-02   -1.0468640e-01
25   2.4000   8.2980531e-01   1.7838042e-02   -1.0556720e-01
26   2.5000   8.5147611e-01   1.9077907e-02   -1.0667780e-01
27   2.6000   8.7288594e-01   2.0470814e-02   -1.0802440e-01
28   2.7000   8.9276995e-01   2.1974042e-02   -1.0933852e-01
29   2.8000   9.1154998e-01   2.3590603e-02   -1.1066440e-01
30   2.9000   9.2909643e-01   2.5301947e-02   -1.1193917e-01
31   3.0000   9.4431710e-01   2.7045150e-02   -1.1287900e-01
32   3.1000   9.5901318e-01   2.8878580e-02   -1.1386520e-01
33   3.2000   9.7125050e-01   3.0699143e-02   -1.1441650e-01
34   3.3000   9.8198740e-01   3.2529794e-02   -1.1472870e-01
35   3.3200   9.8398841e-01   3.2898095e-02   -1.1477020e-01
36   3.3400   9.8596493e-01   3.3268557e-02   -1.1481150e-01
37   3.3500   9.8692813e-01   3.3453472e-02   -1.1482740e-01
38   3.3600   9.8787510e-01   3.3638353e-02   -1.1484060e-01
39   3.3700   9.8881104e-01   3.3823412e-02   -1.1485233e-01
40   3.3800   9.8974219e-01   3.4008888e-02   -1.1486390e-01
41   3.3900   9.9066177e-01   3.4194432e-02   -1.1487380e-01
42   3.4000   9.9156602e-01   3.4379867e-02   -1.1488094e-01
43   3.4100   9.9244451e-01   3.4564617e-02   -1.1488280e-01
44   3.4200   9.9331236e-01   3.4749456e-02   -1.1488303e-01
45   3.4300   9.9416974e-01   3.4934389e-02   -1.1488180e-01
46   3.4400   9.9501996e-01   3.5119587e-02   -1.1487983e-01
47   3.4500   9.9585688e-01   3.5304739e-02   -1.1487577e-01
48   3.4600   9.9666906e-01   3.5489146e-02   -1.1486642e-01
49   3.4800   9.9825970e-01   3.5858055e-02   -1.1484266e-01
50   3.5000   9.9981568e-01   3.6227759e-02   -1.1481510e-01
51   3.6000   1.0068860e+00   3.8072425e-02   -1.1456340e-01
52   3.7000   1.0128098e+00   3.9905186e-02   -1.1412865e-01
53   3.8000   1.0171615e+00   4.1695627e-02   -1.1341744e-01
54   3.9000   1.0216290e+00   4.3548757e-02   -1.1283906e-01
55   4.0000   1.0242844e+00   4.5328220e-02   -1.1192180e-01
56   4.1000   1.0274134e+00   4.7177510e-02   -1.1120689e-01
57   4.2000   1.0291231e+00   4.8968162e-02   -1.1023910e-01
