Buffet: No. AoA Cl l_bound ubound
38 3.1700 1.0013 [3.1700,3.1700]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9489 32.0482 0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   4.0275603e-02   1.0259550e-02   -1.1330800e-01
 2   -1.7500   8.8737666e-02   1.0227160e-02   -1.1502880e-01
 3   -1.5000   1.3675926e-01   1.0225600e-02   -1.1672230e-01
 4   -1.2500   1.8441090e-01   1.0253190e-02   -1.1836506e-01
 5   -1.0000   2.3177110e-01   1.0308910e-02   -1.1994150e-01
 6   -0.7500   2.7891526e-01   1.0391680e-02   -1.2143470e-01
 7   -0.5000   3.2591520e-01   1.0501478e-02   -1.2282680e-01
 8   -0.2500   3.7285571e-01   1.0638310e-02   -1.2410180e-01
 9   0.0000   4.1983570e-01   1.0802405e-02   -1.2523960e-01
10   0.2500   4.6699170e-01   1.1002170e-02   -1.2622600e-01
11   0.5000   5.1439555e-01   1.1277750e-02   -1.2708770e-01
12   0.7500   5.6211220e-01   1.1669030e-02   -1.2787540e-01
13   1.0000   6.1014245e-01   1.2200420e-02   -1.2861740e-01
14   1.2500   6.5854494e-01   1.2891270e-02   -1.2931400e-01
15   1.5000   7.0716771e-01   1.3792980e-02   -1.2987453e-01
16   1.6000   7.2646262e-01   1.4073140e-02   -1.2977210e-01
17   1.7000   7.4663265e-01   1.4029630e-02   -1.2875380e-01
18   1.8000   7.6787519e-01   1.4214830e-02   -1.2812904e-01
19   1.9000   7.8953075e-01   1.4623940e-02   -1.2789500e-01
20   1.9489   8.0003185e-01   1.4895260e-02   -1.2787665e-01
21   2.0000   8.1094920e-01   1.5225820e-02   -1.2792290e-01
22   2.1000   8.3262750e-01   1.6016080e-02   -1.2829470e-01
23   2.2000   8.5361971e-01   1.6959840e-02   -1.2882268e-01
24   2.3000   8.7426785e-01   1.8060560e-02   -1.2957330e-01
25   2.4000   8.9318436e-01   1.9264503e-02   -1.3024789e-01
26   2.5000   9.1203970e-01   2.0615632e-02   -1.3117110e-01
27   2.6000   9.2876346e-01   2.2030429e-02   -1.3187160e-01
28   2.7000   9.4459889e-01   2.3536310e-02   -1.3256970e-01
29   2.8000   9.5982399e-01   2.5140785e-02   -1.3333439e-01
30   2.9000   9.7283699e-01   2.6755154e-02   -1.3374002e-01
31   3.0000   9.8447248e-01   2.8400507e-02   -1.3395551e-01
32   3.1000   9.9478786e-01   3.0067343e-02   -1.3397920e-01
33   3.1200   9.9670522e-01   3.0402898e-02   -1.3396291e-01
34   3.1300   9.9764220e-01   3.0570639e-02   -1.3395107e-01
35   3.1400   9.9855934e-01   3.0738080e-02   -1.3393539e-01
36   3.1500   9.9947296e-01   3.0906089e-02   -1.3392009e-01
37   3.1600   1.0003780e+00   3.1074350e-02   -1.3390380e-01
38   3.1700   1.0012700e+00   3.1242638e-02   -1.3388536e-01
39   3.1800   1.0021440e+00   3.1410670e-02   -1.3386350e-01
40   3.1900   1.0030020e+00   3.1578560e-02   -1.3383880e-01
41   3.2000   1.0038530e+00   3.1746760e-02   -1.3381360e-01
42   3.2100   1.0046910e+00   3.1914940e-02   -1.3378610e-01
43   3.2200   1.0055160e+00   3.2083090e-02   -1.3375650e-01
44   3.2300   1.0063240e+00   3.2250980e-02   -1.3372386e-01
45   3.2400   1.0071190e+00   3.2418732e-02   -1.3368870e-01
46   3.2600   1.0086520e+00   3.2753028e-02   -1.3360742e-01
47   3.2800   1.0101251e+00   3.3086508e-02   -1.3351545e-01
48   3.3000   1.0115116e+00   3.3417647e-02   -1.3340583e-01
49   3.4000   1.0175340e+00   3.5061220e-02   -1.3270690e-01
50   3.5000   1.0229327e+00   3.6730061e-02   -1.3195399e-01
51   3.6000   1.0263848e+00   3.8325936e-02   -1.3082229e-01
52   3.7000   1.0304063e+00   4.0010925e-02   -1.2993176e-01
53   3.8000   1.0325442e+00   4.1618035e-02   -1.2868519e-01
54   3.9000   1.0345955e+00   4.3261134e-02   -1.2751092e-01
55   4.0000   1.0361188e+00   4.4901404e-02   -1.2630713e-01
