Buffet: No. AoA Cl l_bound ubound
42 3.2400 1.0395 [3.2400,3.2400]
Cruise: No. AoA Cl/Cd Cl_error
19 1.8243 31.2978 0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   7.5112690e-02   1.0063899e-02   -1.2079590e-01
 2   -1.7500   1.2240340e-01   1.0063800e-02   -1.2222980e-01
 3   -1.5000   1.6931550e-01   1.0091340e-02   -1.2365460e-01
 4   -1.2500   2.1590746e-01   1.0145500e-02   -1.2504350e-01
 5   -1.0000   2.6225510e-01   1.0225317e-02   -1.2637860e-01
 6   -0.7500   3.0839550e-01   1.0330930e-02   -1.2763280e-01
 7   -0.5000   3.5441651e-01   1.0461440e-02   -1.2879226e-01
 8   -0.2500   4.0037801e-01   1.0617138e-02   -1.2983360e-01
 9   0.0000   4.4633906e-01   1.0798480e-02   -1.3072770e-01
10   0.2500   4.9237914e-01   1.1006060e-02   -1.3144260e-01
11   0.5000   5.3860200e-01   1.1240660e-02   -1.3193600e-01
12   0.7500   5.8512896e-01   1.1503260e-02   -1.3214220e-01
13   1.0000   6.3218594e-01   1.1797260e-02   -1.3194580e-01
14   1.2500   6.8021640e-01   1.2134530e-02   -1.3114510e-01
15   1.5000   7.3053478e-01   1.2622790e-02   -1.2983336e-01
16   1.6000   7.5146637e-01   1.2920610e-02   -1.2936100e-01
17   1.7000   7.7289539e-01   1.3302455e-02   -1.2903380e-01
18   1.8000   7.9462975e-01   1.3787210e-02   -1.2890590e-01
19   1.8243   8.0005186e-01   1.3919640e-02   -1.2892100e-01
20   1.9000   8.1689835e-01   1.4387960e-02   -1.2907180e-01
21   2.0000   8.3902959e-01   1.5111180e-02   -1.2946400e-01
22   2.1000   8.6108062e-01   1.5975210e-02   -1.3013373e-01
23   2.2000   8.8229729e-01   1.6969760e-02   -1.3093570e-01
24   2.3000   9.0309839e-01   1.8104356e-02   -1.3194654e-01
25   2.4000   9.2272360e-01   1.9367596e-02   -1.3299880e-01
26   2.5000   9.4160582e-01   2.0760220e-02   -1.3415251e-01
27   2.6000   9.5916708e-01   2.2254527e-02   -1.3524917e-01
28   2.7000   9.7592003e-01   2.3858089e-02   -1.3637657e-01
29   2.8000   9.9034236e-01   2.5492959e-02   -1.3712434e-01
30   2.9000   1.0043890e+00   2.7224068e-02   -1.3795070e-01
31   3.0000   1.0161280e+00   2.8956020e-02   -1.3835210e-01
32   3.1000   1.0266670e+00   3.0715630e-02   -1.3856800e-01
33   3.1200   1.0286370e+00   3.1070570e-02   -1.3859013e-01
34   3.1400   1.0305543e+00   3.1425960e-02   -1.3860330e-01
35   3.1600   1.0324290e+00   3.1782020e-02   -1.3860944e-01
36   3.1800   1.0342620e+00   3.2139050e-02   -1.3860960e-01
37   3.1900   1.0351580e+00   3.2317580e-02   -1.3860591e-01
38   3.2000   1.0360410e+00   3.2496130e-02   -1.3859990e-01
39   3.2100   1.0369190e+00   3.2675163e-02   -1.3859373e-01
40   3.2200   1.0377880e+00   3.2854350e-02   -1.3858616e-01
41   3.2300   1.0386450e+00   3.3033580e-02   -1.3857640e-01
42   3.2400   1.0394880e+00   3.3212770e-02   -1.3856400e-01
43   3.2500   1.0403180e+00   3.3391900e-02   -1.3854920e-01
44   3.2600   1.0411410e+00   3.3571270e-02   -1.3853350e-01
45   3.2700   1.0419550e+00   3.3750837e-02   -1.3851670e-01
46   3.2800   1.0427560e+00   3.3930270e-02   -1.3849710e-01
47   3.2900   1.0435460e+00   3.4109763e-02   -1.3847590e-01
48   3.3000   1.0443240e+00   3.4289168e-02   -1.3845218e-01
49   3.4000   1.0513332e+00   3.6073729e-02   -1.3806773e-01
50   3.5000   1.0568637e+00   3.7835046e-02   -1.3740340e-01
51   3.6000   1.0620230e+00   3.9626221e-02   -1.3672305e-01
52   3.7000   1.0657529e+00   4.1369645e-02   -1.3575262e-01
53   3.8000   1.0693559e+00   4.3163883e-02   -1.3486050e-01
54   3.9000   1.0715410e+00   4.4896195e-02   -1.3368320e-01
55   4.0000   1.0738540e+00   4.6680068e-02   -1.3262345e-01
56   4.1000   1.0756437e+00   4.8459548e-02   -1.3151739e-01
