Buffet: No. AoA Cl l_bound ubound
41 3.3000 1.0089 [3.3000,3.3000]
Cruise: No. AoA Cl/Cd Cl_error
21 2.0357 31.8967 0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   2.3816620e-02   1.0341680e-02   -1.0731380e-01
 2   -1.7500   7.2167287e-02   1.0297950e-02   -1.0919630e-01
 3   -1.5000   1.2006829e-01   1.0286230e-02   -1.1104009e-01
 4   -1.2500   1.6759460e-01   1.0304500e-02   -1.1282800e-01
 5   -1.0000   2.1480459e-01   1.0351433e-02   -1.1454179e-01
 6   -0.7500   2.6175018e-01   1.0426750e-02   -1.1616146e-01
 7   -0.5000   3.0851700e-01   1.0529010e-02   -1.1767720e-01
 8   -0.2500   3.5515750e-01   1.0658260e-02   -1.1906792e-01
 9   0.0000   4.0173621e-01   1.0814683e-02   -1.2031174e-01
10   0.2500   4.4833224e-01   1.0998350e-02   -1.2138460e-01
11   0.5000   4.9504930e-01   1.1209990e-02   -1.2225690e-01
12   0.7500   5.4202839e-01   1.1452140e-02   -1.2289043e-01
13   1.0000   5.8942610e-01   1.1748100e-02   -1.2326880e-01
14   1.2500   6.3737310e-01   1.2122060e-02   -1.2333370e-01
15   1.5000   6.8610795e-01   1.2610330e-02   -1.2296690e-01
16   1.6000   7.0567628e-01   1.2637220e-02   -1.2209010e-01
17   1.7000   7.2642753e-01   1.2739120e-02   -1.2125660e-01
18   1.8000   7.4789967e-01   1.2991830e-02   -1.2073840e-01
19   1.9000   7.6988744e-01   1.3385980e-02   -1.2049000e-01
20   2.0000   7.9203105e-01   1.3919085e-02   -1.2048790e-01
21   2.0357   8.0009293e-01   1.4147400e-02   -1.2058080e-01
22   2.1000   8.1429437e-01   1.4599080e-02   -1.2077670e-01
23   2.2000   8.3580700e-01   1.5412450e-02   -1.2121520e-01
24   2.3000   8.5732846e-01   1.6385740e-02   -1.2197178e-01
25   2.4000   8.7800997e-01   1.7495180e-02   -1.2286607e-01
26   2.5000   8.9750138e-01   1.8732500e-02   -1.2380978e-01
27   2.6000   9.1626999e-01   2.0102076e-02   -1.2486920e-01
28   2.7000   9.3411932e-01   2.1590450e-02   -1.2597370e-01
29   2.8000   9.4940350e-01   2.3119680e-02   -1.2670640e-01
30   2.9000   9.6483516e-01   2.4777047e-02   -1.2766110e-01
31   3.0000   9.7770956e-01   2.6442157e-02   -1.2817641e-01
32   3.1000   9.8936484e-01   2.8148353e-02   -1.2852898e-01
33   3.2000   9.9975997e-01   2.9881177e-02   -1.2869530e-01
34   3.2200   1.0016874e+00   3.0229781e-02   -1.2870462e-01
35   3.2400   1.0035633e+00   3.0578883e-02   -1.2870557e-01
36   3.2500   1.0044834e+00   3.0753673e-02   -1.2870323e-01
37   3.2600   1.0053923e+00   3.0928685e-02   -1.2869925e-01
38   3.2700   1.0062907e+00   3.1103934e-02   -1.2869382e-01
39   3.2800   1.0071794e+00   3.1279436e-02   -1.2868707e-01
40   3.2900   1.0080588e+00   3.1455165e-02   -1.2867901e-01
41   3.3000   1.0089260e+00   3.1631014e-02   -1.2866898e-01
42   3.3100   1.0097783e+00   3.1806769e-02   -1.2865616e-01
43   3.3200   1.0106206e+00   3.1982666e-02   -1.2864178e-01
44   3.3300   1.0114547e+00   3.2158832e-02   -1.2862648e-01
45   3.3400   1.0122765e+00   3.2335007e-02   -1.2860904e-01
46   3.3500   1.0130870e+00   3.2511222e-02   -1.2858970e-01
47   3.3600   1.0138870e+00   3.2687542e-02   -1.2856870e-01
48   3.3800   1.0154530e+00   3.3040197e-02   -1.2852070e-01
49   3.4000   1.0169780e+00   3.3393176e-02   -1.2846635e-01
50   3.5000   1.0239280e+00   3.5154854e-02   -1.2807669e-01
51   3.6000   1.0292850e+00   3.6882266e-02   -1.2737915e-01
52   3.7000   1.0338371e+00   3.8620705e-02   -1.2657990e-01
53   3.8000   1.0372700e+00   4.0326986e-02   -1.2557400e-01
54   3.9000   1.0407156e+00   4.2090785e-02   -1.2468430e-01
55   4.0000   1.0424560e+00   4.3778117e-02   -1.2345554e-01
56   4.1000   1.0444909e+00   4.5523870e-02   -1.2238431e-01
57   4.2000   1.0461129e+00   4.7259882e-02   -1.2129458e-01
