Buffet: No. AoA Cl l_bound ubound
36 2.8800 1.0223 [2.8800,2.8800]
Cruise: No. AoA Cl/Cd Cl_error
16 1.5662 29.4219 0.0003
No.   AoA         CL              CD               CM
 1   -2.0000   1.0405748e-01   9.9901791e-03   -1.2346320e-01
 2   -1.7500   1.5221614e-01   9.9942854e-03   -1.2484740e-01
 3   -1.5000   2.0001080e-01   1.0026570e-02   -1.2620390e-01
 4   -1.2500   2.4751628e-01   1.0085740e-02   -1.2750511e-01
 5   -1.0000   2.9479670e-01   1.0171880e-02   -1.2872400e-01
 6   -0.7500   3.4194600e-01   1.0283758e-02   -1.2984020e-01
 7   -0.5000   3.8905294e-01   1.0421460e-02   -1.3082824e-01
 8   -0.2500   4.3620070e-01   1.0585930e-02   -1.3165210e-01
 9   0.0000   4.8354120e-01   1.0777630e-02   -1.3227120e-01
10   0.2500   5.3126343e-01   1.1008610e-02   -1.3259740e-01
11   0.5000   5.7957832e-01   1.1349610e-02   -1.3261480e-01
12   0.7500   6.2883388e-01   1.1888949e-02   -1.3248889e-01
13   1.0000   6.7943700e-01   1.2684310e-02   -1.3247610e-01
14   1.2500   7.3174935e-01   1.3798320e-02   -1.3285910e-01
15   1.5000   7.8584412e-01   1.5373834e-02   -1.3402742e-01
16   1.5662   8.0027433e-01   1.5889590e-02   -1.3449770e-01
17   1.6000   8.0727653e-01   1.6164313e-02   -1.3469770e-01
18   1.7000   8.2933167e-01   1.7077160e-02   -1.3566290e-01
19   1.8000   8.5044104e-01   1.8090570e-02   -1.3664330e-01
20   1.9000   8.7146037e-01   1.9231531e-02   -1.3781480e-01
21   2.0000   8.9219265e-01   2.0497807e-02   -1.3914273e-01
22   2.1000   9.1194984e-01   2.1869822e-02   -1.4047424e-01
23   2.2000   9.3053590e-01   2.3337250e-02   -1.4175290e-01
24   2.3000   9.4840195e-01   2.4906143e-02   -1.4305782e-01
25   2.4000   9.6476496e-01   2.6533486e-02   -1.4416660e-01
26   2.5000   9.7951097e-01   2.8209154e-02   -1.4506564e-01
27   2.6000   9.9251017e-01   2.9899143e-02   -1.4565735e-01
28   2.7000   1.0042537e+00   3.1616312e-02   -1.4606036e-01
29   2.8000   1.0147683e+00   3.3351313e-02   -1.4626934e-01
30   2.8200   1.0167130e+00   3.3699286e-02   -1.4628456e-01
31   2.8300   1.0176715e+00   3.3873644e-02   -1.4629038e-01
32   2.8400   1.0186218e+00   3.4048291e-02   -1.4629527e-01
33   2.8500   1.0195595e+00   3.4222940e-02   -1.4629804e-01
34   2.8600   1.0204730e+00   3.4396930e-02   -1.4629545e-01
35   2.8700   1.0213719e+00   3.4570803e-02   -1.4629006e-01
36   2.8800   1.0222640e+00   3.4745006e-02   -1.4628413e-01
37   2.8900   1.0231490e+00   3.4919529e-02   -1.4627750e-01
38   2.9000   1.0240270e+00   3.5094349e-02   -1.4627010e-01
39   2.9100   1.0248920e+00   3.5269158e-02   -1.4626042e-01
40   2.9200   1.0257322e+00   3.5443203e-02   -1.4624513e-01
41   2.9300   1.0265650e+00   3.5617496e-02   -1.4622900e-01
42   2.9400   1.0273880e+00   3.5791875e-02   -1.4621133e-01
43   2.9600   1.0290130e+00   3.6141346e-02   -1.4617383e-01
44   2.9800   1.0305860e+00   3.6490314e-02   -1.4612632e-01
45   3.0000   1.0321270e+00   3.6839830e-02   -1.4607465e-01
46   3.1000   1.0392676e+00   3.8589152e-02   -1.4572847e-01
47   3.2000   1.0447121e+00   4.0291197e-02   -1.4504341e-01
48   3.3000   1.0498940e+00   4.2038049e-02   -1.4440689e-01
49   3.4000   1.0533358e+00   4.3718732e-02   -1.4341535e-01
50   3.5000   1.0573142e+00   4.5475890e-02   -1.4265530e-01
51   3.6000   1.0596715e+00   4.7167496e-02   -1.4157776e-01
