Buffet: No. AoA Cl l_bound ubound
40 3.2100 0.9975 [3.2100,3.2100]
Cruise: No. AoA Cl/Cd Cl_error
21 2.0028 31.9064 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   2.7965322e-02   1.0404803e-02   -1.1334017e-01
 2   -1.7500   7.6562829e-02   1.0367717e-02   -1.1503100e-01
 3   -1.5000   1.2467270e-01   1.0362390e-02   -1.1669650e-01
 4   -1.2500   1.7239720e-01   1.0386710e-02   -1.1832040e-01
 5   -1.0000   2.1980256e-01   1.0439320e-02   -1.1988220e-01
 6   -0.7500   2.6694190e-01   1.0520299e-02   -1.2135810e-01
 7   -0.5000   3.1389646e-01   1.0628260e-02   -1.2273380e-01
 8   -0.2500   3.6074070e-01   1.0763227e-02   -1.2399040e-01
 9   0.0000   4.0753350e-01   1.0925750e-02   -1.2510064e-01
10   0.2500   4.5438625e-01   1.1115708e-02   -1.2604300e-01
11   0.5000   5.0143350e-01   1.1335780e-02   -1.2678560e-01
12   0.7500   5.4881360e-01   1.1611250e-02   -1.2732500e-01
13   1.0000   5.9665725e-01   1.1978680e-02   -1.2769682e-01
14   1.2500   6.4512280e-01   1.2459120e-02   -1.2789890e-01
15   1.5000   6.9393246e-01   1.3022720e-02   -1.2774620e-01
16   1.6000   7.1404644e-01   1.3155310e-02   -1.2719278e-01
17   1.7000   7.3474734e-01   1.3373810e-02   -1.2669250e-01
18   1.8000   7.5603956e-01   1.3722770e-02   -1.2641000e-01
19   1.9000   7.7755837e-01   1.4206670e-02   -1.2633850e-01
20   2.0000   7.9939149e-01   1.4838340e-02   -1.2654950e-01
21   2.0028   7.9997570e-01   1.4857520e-02   -1.2655360e-01
22   2.1000   8.2098620e-01   1.5608550e-02   -1.2696000e-01
23   2.2000   8.4216755e-01   1.6517080e-02   -1.2755758e-01
24   2.3000   8.6276186e-01   1.7561560e-02   -1.2831420e-01
25   2.4000   8.8262906e-01   1.8736205e-02   -1.2919237e-01
26   2.5000   9.0080733e-01   2.0006363e-02   -1.2996455e-01
27   2.6000   9.1834580e-01   2.1395268e-02   -1.3083700e-01
28   2.7000   9.3551903e-01   2.2906013e-02   -1.3184258e-01
29   2.8000   9.5003911e-01   2.4443068e-02   -1.3243790e-01
30   2.9000   9.6358565e-01   2.6048396e-02   -1.3295820e-01
31   3.0000   9.7596033e-01   2.7704495e-02   -1.3334830e-01
32   3.1000   9.8704359e-01   2.9394068e-02   -1.3356023e-01
33   3.1200   9.8906457e-01   2.9733186e-02   -1.3357001e-01
34   3.1400   9.9103144e-01   3.0072735e-02   -1.3357105e-01
35   3.1600   9.9293141e-01   3.0411962e-02   -1.3355996e-01
36   3.1700   9.9385919e-01   3.0581613e-02   -1.3355064e-01
37   3.1800   9.9477483e-01   3.0751426e-02   -1.3353948e-01
38   3.1900   9.9567776e-01   3.0921340e-02   -1.3352628e-01
39   3.2000   9.9656821e-01   3.1091372e-02   -1.3351111e-01
40   3.2100   9.9745074e-01   3.1261751e-02   -1.3349513e-01
41   3.2200   9.9832187e-01   3.1432308e-02   -1.3347746e-01
42   3.2300   9.9917638e-01   3.1602739e-02   -1.3345665e-01
43   3.2400   1.0000218e+00   3.1773411e-02   -1.3343463e-01
44   3.2500   1.0008570e+00   3.1944235e-02   -1.3341110e-01
45   3.2600   1.0016820e+00   3.2115200e-02   -1.3338600e-01
46   3.2700   1.0024990e+00   3.2286453e-02   -1.3336000e-01
47   3.2800   1.0032961e+00   3.2457308e-02   -1.3332990e-01
48   3.3000   1.0048605e+00   3.2799333e-02   -1.3326485e-01
49   3.4000   1.0121131e+00   3.4518258e-02   -1.3285399e-01
50   3.5000   1.0184320e+00   3.6240946e-02   -1.3229707e-01
51   3.6000   1.0230742e+00   3.7918448e-02   -1.3141258e-01
52   3.7000   1.0272137e+00   3.9625624e-02   -1.3050758e-01
53   3.8000   1.0298170e+00   4.1273646e-02   -1.2930850e-01
54   3.9000   1.0326186e+00   4.2983091e-02   -1.2824958e-01
55   4.0000   1.0345407e+00   4.4668828e-02   -1.2707237e-01
56   4.1000   1.0356860e+00   4.6339034e-02   -1.2579238e-01
