Buffet: No. AoA Cl l_bound ubound
38 2.9900 1.0090 [2.9900,2.9900]
Cruise: No. AoA Cl/Cd Cl_error
18 1.7216 32.2357 -0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   8.0560210e-02   1.0079110e-02   -1.2385740e-01
 2   -1.7500   1.2873447e-01   1.0074140e-02   -1.2531178e-01
 3   -1.5000   1.7650696e-01   1.0097720e-02   -1.2674910e-01
 4   -1.2500   2.2394720e-01   1.0149090e-02   -1.2814330e-01
 5   -1.0000   2.7113930e-01   1.0226890e-02   -1.2947733e-01
 6   -0.7500   3.1815864e-01   1.0331090e-02   -1.3073160e-01
 7   -0.5000   3.6507629e-01   1.0461340e-02   -1.3188450e-01
 8   -0.2500   4.1199463e-01   1.0617640e-02   -1.3292000e-01
 9   0.0000   4.5899137e-01   1.0800880e-02   -1.3380800e-01
10   0.2500   5.0619937e-01   1.1011900e-02   -1.3452010e-01
11   0.5000   5.5383797e-01   1.1259220e-02   -1.3503730e-01
12   0.7500   6.0207580e-01   1.1576420e-02   -1.3538280e-01
13   1.0000   6.5114787e-01   1.1996030e-02   -1.3559620e-01
14   1.2500   7.0106997e-01   1.2567810e-02   -1.3571560e-01
15   1.5000   7.5260863e-01   1.3272160e-02   -1.3538840e-01
16   1.6000   7.7372123e-01   1.3693070e-02   -1.3536230e-01
17   1.7000   7.9533816e-01   1.4241380e-02   -1.3557440e-01
18   1.7216   7.9981586e-01   1.4372070e-02   -1.3560420e-01
19   1.8000   8.1693432e-01   1.4922000e-02   -1.3597230e-01
20   1.9000   8.3825808e-01   1.5740290e-02   -1.3654270e-01
21   2.0000   8.5889540e-01   1.6690548e-02   -1.3721766e-01
22   2.1000   8.7881360e-01   1.7772010e-02   -1.3799430e-01
23   2.2000   8.9844206e-01   1.8996040e-02   -1.3895959e-01
24   2.3000   9.1759501e-01   2.0355390e-02   -1.4006169e-01
25   2.4000   9.3420600e-01   2.1764412e-02   -1.4081800e-01
26   2.5000   9.5053251e-01   2.3288243e-02   -1.4169378e-01
27   2.6000   9.6543226e-01   2.4876600e-02   -1.4243060e-01
28   2.7000   9.7843859e-01   2.6485350e-02   -1.4286100e-01
29   2.8000   9.9015538e-01   2.8127280e-02   -1.4311350e-01
30   2.9000   1.0006270e+00   2.9791630e-02   -1.4318170e-01
31   2.9200   1.0025750e+00   3.0126500e-02   -1.4317310e-01
32   2.9300   1.0035330e+00   3.0294185e-02   -1.4316650e-01
33   2.9400   1.0044800e+00   3.0462060e-02   -1.4315830e-01
34   2.9500   1.0054140e+00   3.0629940e-02   -1.4314790e-01
35   2.9600   1.0063290e+00   3.0797480e-02   -1.4313360e-01
36   2.9700   1.0072370e+00   3.0965371e-02   -1.4311890e-01
37   2.9800   1.0081320e+00   3.1133240e-02   -1.4310190e-01
38   2.9900   1.0090150e+00   3.1301203e-02   -1.4308310e-01
39   3.0000   1.0098820e+00   3.1468972e-02   -1.4306130e-01
40   3.0100   1.0107320e+00   3.1636470e-02   -1.4303623e-01
41   3.0200   1.0115670e+00   3.1803843e-02   -1.4300858e-01
42   3.0300   1.0123880e+00   3.1971124e-02   -1.4297849e-01
43   3.0400   1.0131940e+00   3.2138292e-02   -1.4294590e-01
44   3.0600   1.0147510e+00   3.2471525e-02   -1.4286990e-01
45   3.0800   1.0162180e+00   3.2802352e-02   -1.4277571e-01
46   3.1000   1.0176310e+00   3.3132968e-02   -1.4267330e-01
47   3.2000   1.0242240e+00   3.4799188e-02   -1.4210760e-01
48   3.3000   1.0302000e+00   3.6483097e-02   -1.4147440e-01
49   3.4000   1.0345350e+00   3.8117430e-02   -1.4052940e-01
50   3.5000   1.0389906e+00   3.9817316e-02   -1.3972066e-01
51   3.6000   1.0417190e+00   4.1447088e-02   -1.3858401e-01
52   3.7000   1.0444830e+00   4.3121967e-02   -1.3754315e-01
53   3.8000   1.0473663e+00   4.4839249e-02   -1.3661404e-01
