Buffet: No. AoA Cl l_bound ubound
43 3.4200 1.0623 [3.4200,3.4200]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9521 29.6196 0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   4.2905160e-02   1.0403235e-02   -1.1826300e-01
 2   -1.7500   9.1424349e-02   1.0366340e-02   -1.2016786e-01
 3   -1.5000   1.3941803e-01   1.0361592e-02   -1.2200810e-01
 4   -1.2500   1.8696059e-01   1.0387103e-02   -1.2376530e-01
 5   -1.0000   2.3411850e-01   1.0441991e-02   -1.2542360e-01
 6   -0.7500   2.8098506e-01   1.0524260e-02   -1.2697270e-01
 7   -0.5000   3.2760317e-01   1.0633861e-02   -1.2838960e-01
 8   -0.2500   3.7404950e-01   1.0770710e-02   -1.2965726e-01
 9   0.0000   4.2039423e-01   1.0934216e-02   -1.3075060e-01
10   0.2500   4.6671810e-01   1.1124830e-02   -1.3163950e-01
11   0.5000   5.1311069e-01   1.1343180e-02   -1.3228074e-01
12   0.7500   5.5967543e-01   1.1590680e-02   -1.3260500e-01
13   1.0000   6.0661321e-01   1.1869850e-02   -1.3249700e-01
14   1.2500   6.5433042e-01   1.2206530e-02   -1.3167870e-01
15   1.5000   7.0365400e-01   1.2746530e-02   -1.3011361e-01
16   1.6000   7.2404730e-01   1.3060466e-02   -1.2942450e-01
17   1.7000   7.4497915e-01   1.3441450e-02   -1.2877900e-01
18   1.8000   7.6637061e-01   1.3904490e-02   -1.2824690e-01
19   1.9000   7.8826123e-01   1.4455040e-02   -1.2789030e-01
20   1.9521   8.0001211e-01   1.4783240e-02   -1.2782466e-01
21   2.0000   8.1086625e-01   1.5106920e-02   -1.2781740e-01
22   2.1000   8.3352568e-01   1.5860230e-02   -1.2797410e-01
23   2.2000   8.5683630e-01   1.6733856e-02   -1.2851890e-01
24   2.3000   8.7948647e-01   1.7721300e-02   -1.2925676e-01
25   2.4000   9.0181905e-01   1.8836780e-02   -1.3025680e-01
26   2.5000   9.2369538e-01   2.0087130e-02   -1.3149630e-01
27   2.6000   9.4441861e-01   2.1463601e-02   -1.3281780e-01
28   2.7000   9.6408056e-01   2.2956698e-02   -1.3420040e-01
29   2.8000   9.8212449e-01   2.4550461e-02   -1.3548410e-01
30   2.9000   9.9905160e-01   2.6247540e-02   -1.3674220e-01
31   3.0000   1.0146360e+00   2.8022715e-02   -1.3787332e-01
32   3.1000   1.0277980e+00   2.9820980e-02   -1.3859660e-01
33   3.2000   1.0399054e+00   3.1671650e-02   -1.3918765e-01
34   3.3000   1.0510931e+00   3.3577117e-02   -1.3968482e-01
35   3.3200   1.0530988e+00   3.3957653e-02   -1.3973949e-01
36   3.3400   1.0550427e+00   3.4338264e-02   -1.3978254e-01
37   3.3600   1.0569395e+00   3.4719796e-02   -1.3981810e-01
38   3.3700   1.0578610e+00   3.4910317e-02   -1.3983036e-01
39   3.3800   1.0587680e+00   3.5100741e-02   -1.3983967e-01
40   3.3900   1.0596662e+00   3.5291461e-02   -1.3984775e-01
41   3.4000   1.0605556e+00   3.5482442e-02   -1.3985456e-01
42   3.4100   1.0614310e+00   3.5673475e-02   -1.3985882e-01
43   3.4200   1.0622930e+00   3.5864533e-02   -1.3986063e-01
44   3.4300   1.0631370e+00   3.6055364e-02   -1.3985872e-01
45   3.4400   1.0639723e+00   3.6246458e-02   -1.3985554e-01
46   3.4500   1.0647960e+00   3.6437615e-02   -1.3985028e-01
47   3.4600   1.0656090e+00   3.6628788e-02   -1.3984310e-01
48   3.4700   1.0664100e+00   3.6820003e-02   -1.3983385e-01
49   3.4800   1.0671885e+00   3.7010453e-02   -1.3981915e-01
50   3.5000   1.0686908e+00   3.7390275e-02   -1.3977804e-01
51   3.6000   1.0753300e+00   3.9280132e-02   -1.3940479e-01
52   3.7000   1.0810557e+00   4.1180694e-02   -1.3888636e-01
53   3.8000   1.0861647e+00   4.3093239e-02   -1.3827966e-01
54   3.9000   1.0896477e+00   4.4950219e-02   -1.3733059e-01
55   4.0000   1.0929332e+00   4.6851800e-02   -1.3643102e-01
56   4.1000   1.0949620e+00   4.8702805e-02   -1.3528604e-01
57   4.2000   1.0966890e+00   5.0575710e-02   -1.3414709e-01
58   4.3000   1.0981201e+00   5.2456524e-02   -1.3301168e-01
59   4.4000   1.0987967e+00   5.4320318e-02   -1.3177392e-01
