Buffet: No. AoA Cl l_bound ubound
41 3.2300 0.9507 [3.2300,3.2300]
Cruise: No. AoA Cl/Cd Cl_error
23 2.2594 29.0549 -0.0005
No.   AoA         CL              CD               CM
 1   -2.0000   -3.1134948e-02   1.0098028e-02   -8.4394170e-02
 2   -1.7500   1.7285424e-02   1.0024030e-02   -8.6027301e-02
 3   -1.5000   6.5337770e-02   9.9817709e-03   -8.7665626e-02
 4   -1.2500   1.1308949e-01   9.9694132e-03   -8.9280530e-02
 5   -1.0000   1.6059187e-01   9.9856513e-03   -9.0845734e-02
 6   -0.7500   2.0790639e-01   1.0029443e-02   -9.2338483e-02
 7   -0.5000   2.5509326e-01   1.0100390e-02   -9.3737892e-02
 8   -0.2500   3.0223500e-01   1.0197906e-02   -9.5024427e-02
 9   0.0000   3.4940090e-01   1.0322060e-02   -9.6170188e-02
10   0.2500   3.9670185e-01   1.0473312e-02   -9.7148402e-02
11   0.5000   4.4423929e-01   1.0653330e-02   -9.7907674e-02
12   0.7500   4.9226064e-01   1.0874240e-02   -9.8385993e-02
13   1.0000   5.4099435e-01   1.1205710e-02   -9.8616116e-02
14   1.2500   5.9062520e-01   1.1740170e-02   -9.8782985e-02
15   1.5000   6.4121377e-01   1.2508730e-02   -9.9032851e-02
16   1.6000   6.6191140e-01   1.2891870e-02   -9.9146619e-02
17   1.7000   6.8270213e-01   1.3344813e-02   -9.9277040e-02
18   1.8000   7.0355626e-01   1.3887690e-02   -9.9466228e-02
19   1.9000   7.2451103e-01   1.4534800e-02   -9.9761322e-02
20   2.0000   7.4564006e-01   1.5298910e-02   -1.0021690e-01
21   2.1000   7.6690315e-01   1.6187560e-02   -1.0085570e-01
22   2.2000   7.8777969e-01   1.7198042e-02   -1.0161077e-01
23   2.2594   7.9950049e-01   1.7842991e-02   -1.0202144e-01
24   2.3000   8.0822825e-01   1.8330950e-02   -1.0248180e-01
25   2.4000   8.2795266e-01   1.9575296e-02   -1.0340848e-01
26   2.5000   8.4689490e-01   2.0926220e-02   -1.0438283e-01
27   2.6000   8.6557187e-01   2.2396660e-02   -1.0550389e-01
28   2.7000   8.8293684e-01   2.3939326e-02   -1.0651457e-01
29   2.8000   8.9884900e-01   2.5540763e-02   -1.0739635e-01
30   2.9000   9.1299145e-01   2.7165246e-02   -1.0801363e-01
31   3.0000   9.2622135e-01   2.8842425e-02   -1.0856017e-01
32   3.1000   9.3793194e-01   3.0533410e-02   -1.0888410e-01
33   3.1200   9.4006660e-01   3.0870930e-02   -1.0891560e-01
34   3.1400   9.4213438e-01   3.1208005e-02   -1.0893590e-01
35   3.1600   9.4415793e-01   3.1545683e-02   -1.0895060e-01
36   3.1800   9.4610560e-01   3.1881962e-02   -1.0895070e-01
37   3.1900   9.4706011e-01   3.2050127e-02   -1.0894788e-01
38   3.2000   9.4799919e-01   3.2218181e-02   -1.0894246e-01
39   3.2100   9.4892686e-01   3.2386319e-02   -1.0893548e-01
40   3.2200   9.4983895e-01   3.2554336e-02   -1.0892600e-01
41   3.2300   9.5073151e-01   3.2721941e-02   -1.0891281e-01
42   3.2400   9.5161006e-01   3.2889457e-02   -1.0889738e-01
43   3.2500   9.5247846e-01   3.3057141e-02   -1.0888081e-01
44   3.2600   9.5333461e-01   3.3224851e-02   -1.0886257e-01
45   3.2700   9.5417567e-01   3.3392430e-02   -1.0884198e-01
46   3.2800   9.5499765e-01   3.3559593e-02   -1.0881789e-01
47   3.2900   9.5579881e-01   3.3726245e-02   -1.0878990e-01
48   3.3000   9.5658490e-01   3.3892687e-02   -1.0875948e-01
49   3.4000   9.6363698e-01   3.5548262e-02   -1.0833394e-01
50   3.5000   9.7008388e-01   3.7231824e-02   -1.0787460e-01
51   3.6000   9.7484104e-01   3.8867177e-02   -1.0712435e-01
52   3.7000   9.7938819e-01   4.0539814e-02   -1.0643983e-01
53   3.8000   9.8272954e-01   4.2186227e-02   -1.0557833e-01
54   3.9000   9.8584747e-01   4.3856718e-02   -1.0476122e-01
55   4.0000   9.8786532e-01   4.5489619e-02   -1.0379274e-01
