Buffet: No. AoA Cl l_bound ubound
37 2.9700 1.0215 [2.9700,2.9700]
Cruise: No. AoA Cl/Cd Cl_error
17 1.6094 30.1381 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   1.0626630e-01   1.0273311e-02   -1.2914970e-01
 2   -1.7500   1.5404568e-01   1.0287200e-02   -1.3051930e-01
 3   -1.5000   2.0142140e-01   1.0329510e-02   -1.3186070e-01
 4   -1.2500   2.4847920e-01   1.0399080e-02   -1.3315090e-01
 5   -1.0000   2.9527716e-01   1.0495730e-02   -1.3436461e-01
 6   -0.7500   3.4190985e-01   1.0618480e-02   -1.3548460e-01
 7   -0.5000   3.8844580e-01   1.0767190e-02   -1.3648490e-01
 8   -0.2500   4.3495920e-01   1.0942980e-02   -1.3733530e-01
 9   0.0000   4.8157120e-01   1.1145400e-02   -1.3800480e-01
10   0.2500   5.2842520e-01   1.1376140e-02   -1.3844300e-01
11   0.5000   5.7576180e-01   1.1648690e-02   -1.3858290e-01
12   0.7500   6.2384776e-01   1.2033774e-02   -1.3843530e-01
13   1.0000   6.7303554e-01   1.2630494e-02   -1.3818750e-01
14   1.2500   7.2377351e-01   1.3513270e-02   -1.3811280e-01
15   1.5000   7.7633868e-01   1.4798102e-02   -1.3864380e-01
16   1.6000   7.9797744e-01   1.5459750e-02   -1.3917370e-01
17   1.6094   7.9986742e-01   1.5524720e-02   -1.3920488e-01
18   1.7000   8.1922961e-01   1.6215960e-02   -1.3980680e-01
19   1.8000   8.4060034e-01   1.7077450e-02   -1.4065250e-01
20   1.9000   8.6114070e-01   1.8044490e-02   -1.4154910e-01
21   2.0000   8.8199529e-01   1.9144090e-02   -1.4273571e-01
22   2.1000   9.0165747e-01   2.0345030e-02   -1.4389040e-01
23   2.2000   9.2027551e-01   2.1650280e-02   -1.4502850e-01
24   2.3000   9.3696751e-01   2.3024306e-02   -1.4592184e-01
25   2.4000   9.5329446e-01   2.4508600e-02   -1.4691660e-01
26   2.5000   9.6836523e-01   2.6061304e-02   -1.4776440e-01
27   2.6000   9.8223998e-01   2.7677148e-02   -1.4848300e-01
28   2.7000   9.9432066e-01   2.9315178e-02   -1.4888400e-01
29   2.8000   1.0053225e+00   3.0990711e-02   -1.4912840e-01
30   2.9000   1.0151970e+00   3.2690997e-02   -1.4919195e-01
31   2.9100   1.0161240e+00   3.2862146e-02   -1.4918840e-01
32   2.9200   1.0170430e+00   3.3033592e-02   -1.4918376e-01
33   2.9300   1.0179510e+00   3.3205199e-02   -1.4917721e-01
34   2.9400   1.0188480e+00   3.3376964e-02   -1.4916883e-01
35   2.9500   1.0197350e+00   3.3548933e-02   -1.4915890e-01
36   2.9600   1.0206080e+00   3.3720876e-02   -1.4914628e-01
37   2.9700   1.0214739e+00   3.3893098e-02   -1.4913258e-01
38   2.9800   1.0223334e+00   3.4065716e-02   -1.4911843e-01
39   2.9900   1.0231814e+00   3.4238348e-02   -1.4910209e-01
40   3.0000   1.0240215e+00   3.4411208e-02   -1.4908460e-01
41   3.0100   1.0248460e+00   3.4583900e-02   -1.4906400e-01
42   3.0200   1.0256570e+00   3.4756380e-02   -1.4904030e-01
43   3.0400   1.0272580e+00   3.5102151e-02   -1.4899079e-01
44   3.0600   1.0288210e+00   3.5448264e-02   -1.4893460e-01
45   3.0800   1.0303250e+00   3.5793558e-02   -1.4886642e-01
46   3.1000   1.0317860e+00   3.6138835e-02   -1.4879060e-01
47   3.2000   1.0379150e+00   3.7835391e-02   -1.4816259e-01
48   3.3000   1.0434190e+00   3.9555186e-02   -1.4746272e-01
49   3.4000   1.0482855e+00   4.1277519e-02   -1.4666418e-01
50   3.5000   1.0519048e+00   4.2978896e-02   -1.4564755e-01
51   3.6000   1.0544698e+00   4.4648580e-02   -1.4442900e-01
52   3.7000   1.0573910e+00   4.6383586e-02   -1.4339827e-01
53   3.8000   1.0587726e+00   4.8049815e-02   -1.4205768e-01
