Buffet: No. AoA Cl l_bound ubound
44 3.5200 1.0293 [3.5200,3.5200]
Cruise: No. AoA Cl/Cd Cl_error
23 2.2088 27.2938 0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   -1.2698633e-02   1.0187480e-02   -9.8691362e-02
 2   -1.7500   3.5521210e-02   1.0128525e-02   -1.0034108e-01
 3   -1.5000   8.3300609e-02   1.0100440e-02   -1.0197475e-01
 4   -1.2500   1.3070447e-01   1.0101910e-02   -1.0356620e-01
 5   -1.0000   1.7778941e-01   1.0131350e-02   -1.0509210e-01
 6   -0.7500   2.2462449e-01   1.0187970e-02   -1.0653339e-01
 7   -0.5000   2.7126470e-01   1.0271010e-02   -1.0786800e-01
 8   -0.2500   3.1777412e-01   1.0380340e-02   -1.0907347e-01
 9   0.0000   3.6421618e-01   1.0515770e-02   -1.1012170e-01
10   0.2500   4.1066200e-01   1.0678000e-02   -1.1097790e-01
11   0.5000   4.5721620e-01   1.0867186e-02   -1.1159790e-01
12   0.7500   5.0398100e-01   1.1085050e-02   -1.1189940e-01
13   1.0000   5.5116560e-01   1.1344440e-02   -1.1170399e-01
14   1.2500   5.9907386e-01   1.1731827e-02   -1.1080490e-01
15   1.5000   6.4834075e-01   1.2398681e-02   -1.0940176e-01
16   1.6000   6.6851996e-01   1.2775707e-02   -1.0879914e-01
17   1.7000   6.8902990e-01   1.3231860e-02   -1.0825170e-01
18   1.8000   7.1001140e-01   1.3772600e-02   -1.0781420e-01
19   1.9000   7.3143995e-01   1.4398440e-02   -1.0752010e-01
20   2.0000   7.5326440e-01   1.5113130e-02   -1.0740475e-01
21   2.1000   7.7547422e-01   1.5921503e-02   -1.0751069e-01
22   2.2000   7.9799729e-01   1.6827293e-02   -1.0786690e-01
23   2.2088   8.0022573e-01   1.6916080e-02   -1.0795070e-01
24   2.3000   8.2073853e-01   1.7834860e-02   -1.0849133e-01
25   2.4000   8.4330430e-01   1.8945680e-02   -1.0934370e-01
26   2.5000   8.6552573e-01   2.0165060e-02   -1.1040931e-01
27   2.6000   8.8745555e-01   2.1507481e-02   -1.1171650e-01
28   2.7000   9.0887714e-01   2.2973750e-02   -1.1320650e-01
29   2.8000   9.2865357e-01   2.4530077e-02   -1.1462672e-01
30   2.9000   9.4733748e-01   2.6190840e-02   -1.1605506e-01
31   3.0000   9.6477404e-01   2.7943318e-02   -1.1743276e-01
32   3.1000   9.8084835e-01   2.9769230e-02   -1.1869150e-01
33   3.2000   9.9463842e-01   3.1612720e-02   -1.1956670e-01
34   3.3000   1.0075260e+00   3.3523851e-02   -1.2038548e-01
35   3.4000   1.0182020e+00   3.5419427e-02   -1.2078026e-01
36   3.4200   1.0201870e+00   3.5800780e-02   -1.2083539e-01
37   3.4400   1.0221130e+00   3.6182161e-02   -1.2088002e-01
38   3.4600   1.0239890e+00   3.6563866e-02   -1.2091619e-01
39   3.4700   1.0249135e+00   3.6755291e-02   -1.2093277e-01
40   3.4800   1.0258261e+00   3.6946934e-02   -1.2094767e-01
41   3.4900   1.0267219e+00   3.7138411e-02   -1.2095924e-01
42   3.5000   1.0276034e+00   3.7329831e-02   -1.2096820e-01
43   3.5100   1.0284757e+00   3.7521467e-02   -1.2097586e-01
44   3.5200   1.0293377e+00   3.7713221e-02   -1.2098188e-01
45   3.5300   1.0301855e+00   3.7904934e-02   -1.2098535e-01
46   3.5400   1.0310158e+00   3.8096432e-02   -1.2098535e-01
47   3.5500   1.0318340e+00   3.8287974e-02   -1.2098336e-01
48   3.5600   1.0326440e+00   3.8479675e-02   -1.2098013e-01
49   3.5700   1.0334341e+00   3.8670922e-02   -1.2097283e-01
50   3.5800   1.0342090e+00   3.8861945e-02   -1.2096246e-01
51   3.6000   1.0357280e+00   3.9244425e-02   -1.2093729e-01
52   3.7000   1.0426551e+00   4.1158160e-02   -1.2070000e-01
53   3.8000   1.0484608e+00   4.3063562e-02   -1.2026781e-01
54   3.9000   1.0525724e+00   4.4918231e-02   -1.1949958e-01
55   4.0000   1.0565540e+00   4.6822487e-02   -1.1880401e-01
56   4.1000   1.0587170e+00   4.8650784e-02   -1.1773987e-01
57   4.3000   1.0625138e+00   5.2386540e-02   -1.1575315e-01
58   4.4000   1.0631092e+00   5.4214503e-02   -1.1456128e-01
