Buffet: No. AoA Cl l_bound ubound
42 3.2400 1.0016 [3.2300,3.2400]
Cruise: No. AoA Cl/Cd Cl_error
21 2.0409 27.9757 -0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   1.1413529e-02   1.0008279e-02   -1.0436840e-01
 2   -1.7500   5.9975479e-02   9.9614663e-03   -1.0585920e-01
 3   -1.5000   1.0809420e-01   9.9448526e-03   -1.0732960e-01
 4   -1.2500   1.5584260e-01   9.9569998e-03   -1.0875343e-01
 5   -1.0000   2.0331679e-01   9.9960925e-03   -1.1011538e-01
 6   -0.7500   2.5057138e-01   1.0061950e-02   -1.1138936e-01
 7   -0.5000   2.9769080e-01   1.0153960e-02   -1.1255660e-01
 8   -0.2500   3.4476490e-01   1.0271720e-02   -1.1359698e-01
 9   0.0000   3.9186418e-01   1.0415980e-02   -1.1447765e-01
10   0.2500   4.3911029e-01   1.0587230e-02   -1.1516770e-01
11   0.5000   4.8665562e-01   1.0786700e-02   -1.1561890e-01
12   0.7500   5.3470300e-01   1.1030700e-02   -1.1576920e-01
13   1.0000   5.8343067e-01   1.1378660e-02   -1.1560960e-01
14   1.2500   6.3317970e-01   1.1860650e-02   -1.1506518e-01
15   1.5000   6.8457475e-01   1.2699834e-02   -1.1435099e-01
16   1.6000   7.0551217e-01   1.3201840e-02   -1.1417210e-01
17   1.7000   7.2687384e-01   1.3815030e-02   -1.1415620e-01
18   1.8000   7.4809666e-01   1.4531940e-02   -1.1423536e-01
19   1.9000   7.6959117e-01   1.5370260e-02   -1.1452595e-01
20   2.0000   7.9127800e-01   1.6324666e-02   -1.1503090e-01
21   2.0409   7.9982860e-01   1.6742510e-02   -1.1523489e-01
22   2.1000   8.1252764e-01   1.7386860e-02   -1.1565445e-01
23   2.2000   8.3384827e-01   1.8575915e-02   -1.1651590e-01
24   2.3000   8.5522258e-01   1.9890438e-02   -1.1762020e-01
25   2.4000   8.7574087e-01   2.1306270e-02   -1.1878660e-01
26   2.5000   8.9560869e-01   2.2828807e-02   -1.2004690e-01
27   2.6000   9.1459177e-01   2.4445290e-02   -1.2133440e-01
28   2.7000   9.3183268e-01   2.6115021e-02   -1.2244480e-01
29   2.8000   9.4852682e-01   2.7876416e-02   -1.2361814e-01
30   2.9000   9.6325075e-01   2.9655297e-02   -1.2449086e-01
31   3.0000   9.7665428e-01   3.1471969e-02   -1.2520770e-01
32   3.1000   9.8799056e-01   3.3272468e-02   -1.2556062e-01
33   3.1200   9.9011291e-01   3.3634624e-02   -1.2561086e-01
34   3.1400   9.9217116e-01   3.3996046e-02   -1.2564923e-01
35   3.1600   9.9417848e-01   3.4357738e-02   -1.2567981e-01
36   3.1800   9.9613290e-01   3.4719650e-02   -1.2570260e-01
37   3.1900   9.9709013e-01   3.4900660e-02   -1.2571096e-01
38   3.2000   9.9802468e-01   3.5081211e-02   -1.2571498e-01
39   3.2100   9.9894843e-01   3.5261885e-02   -1.2571757e-01
40   3.2200   9.9986305e-01   3.5442762e-02   -1.2571912e-01
41   3.2300   1.0007646e+00   3.5623620e-02   -1.2571864e-01
42   3.2400   1.0016492e+00   3.5804284e-02   -1.2571525e-01
43   3.2500   1.0025230e+00   3.5985006e-02   -1.2571024e-01
44   3.2600   1.0033808e+00   3.6165511e-02   -1.2570237e-01
45   3.2700   1.0042281e+00   3.6346156e-02   -1.2569318e-01
46   3.2800   1.0050593e+00   3.6526595e-02   -1.2568110e-01
47   3.2900   1.0058820e+00   3.6707182e-02   -1.2566790e-01
48   3.3000   1.0066910e+00   3.6887660e-02   -1.2565260e-01
49   3.4000   1.0139450e+00   3.8678437e-02   -1.2535164e-01
50   3.5000   1.0193120e+00   4.0417604e-02   -1.2470885e-01
51   3.6000   1.0245270e+00   4.2203053e-02   -1.2413813e-01
52   3.7000   1.0299494e+00   4.4026516e-02   -1.2363128e-01
53   3.8000   1.0315374e+00   4.5705787e-02   -1.2248206e-01
54   3.9000   1.0335844e+00   4.7424926e-02   -1.2145693e-01
55   4.0000   1.0347134e+00   4.9117846e-02   -1.2033349e-01
