Buffet: No. AoA Cl l_bound ubound
41 3.3000 1.0686 [3.3000,3.3000]
Cruise: No. AoA Cl/Cd Cl_error
19 1.8087 27.0813 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   6.2433260e-02   1.0310077e-02   -1.1945269e-01
 2   -1.7500   1.1102030e-01   1.0282770e-02   -1.2120500e-01
 3   -1.5000   1.5911624e-01   1.0286460e-02   -1.2289218e-01
 4   -1.2500   2.0678450e-01   1.0320070e-02   -1.2448862e-01
 5   -1.0000   2.5411320e-01   1.0381884e-02   -1.2597930e-01
 6   -0.7500   3.0117821e-01   1.0471030e-02   -1.2734449e-01
 7   -0.5000   3.4805056e-01   1.0587302e-02   -1.2856076e-01
 8   -0.2500   3.9481588e-01   1.0730374e-02   -1.2960280e-01
 9   0.0000   4.4157210e-01   1.0900374e-02   -1.3043641e-01
10   0.2500   4.8842453e-01   1.1098826e-02   -1.3100580e-01
11   0.5000   5.3554976e-01   1.1335045e-02   -1.3119733e-01
12   0.7500   5.8306910e-01   1.1674334e-02   -1.3088546e-01
13   1.0000   6.3137946e-01   1.2213340e-02   -1.3011824e-01
14   1.2500   6.8099970e-01   1.3067536e-02   -1.2909930e-01
15   1.5000   7.3254667e-01   1.4348890e-02   -1.2828690e-01
16   1.6000   7.5391490e-01   1.4997290e-02   -1.2815830e-01
17   1.7000   7.7577323e-01   1.5728320e-02   -1.2820340e-01
18   1.8000   7.9804358e-01   1.6545980e-02   -1.2845300e-01
19   1.8087   7.9990364e-01   1.6619500e-02   -1.2846960e-01
20   1.9000   8.2063157e-01   1.7453210e-02   -1.2892772e-01
21   2.0000   8.4335922e-01   1.8453860e-02   -1.2963360e-01
22   2.1000   8.6596830e-01   1.9547640e-02   -1.3054300e-01
23   2.2000   8.8806430e-01   2.0730810e-02   -1.3159510e-01
24   2.3000   9.1022104e-01   2.2029900e-02   -1.3293080e-01
25   2.4000   9.3202697e-01   2.3444390e-02   -1.3446578e-01
26   2.5000   9.5231068e-01   2.4942900e-02   -1.3594152e-01
27   2.6000   9.7178825e-01   2.6546383e-02   -1.3748060e-01
28   2.7000   9.9016300e-01   2.8242760e-02   -1.3899950e-01
29   2.8000   1.0070710e+00   3.0013430e-02   -1.4038470e-01
30   2.9000   1.0226910e+00   3.1853330e-02   -1.4164292e-01
31   3.0000   1.0364297e+00   3.3720027e-02   -1.4258042e-01
32   3.1000   1.0487530e+00   3.5627831e-02   -1.4331454e-01
33   3.2000   1.0592690e+00   3.7534661e-02   -1.4369929e-01
34   3.2200   1.0612172e+00   3.7917562e-02   -1.4374861e-01
35   3.2400   1.0631280e+00   3.8301915e-02   -1.4379296e-01
36   3.2500   1.0640651e+00   3.8494342e-02   -1.4381221e-01
37   3.2600   1.0649900e+00   3.8686751e-02   -1.4382892e-01
38   3.2700   1.0658981e+00   3.8879104e-02   -1.4384243e-01
39   3.2800   1.0667976e+00   3.9071779e-02   -1.4385473e-01
40   3.2900   1.0676880e+00   3.9264713e-02   -1.4386575e-01
41   3.3000   1.0685617e+00   3.9457491e-02   -1.4387339e-01
42   3.3100   1.0694232e+00   3.9650325e-02   -1.4387883e-01
43   3.3200   1.0702740e+00   3.9843291e-02   -1.4388246e-01
44   3.3300   1.0711126e+00   4.0036264e-02   -1.4388368e-01
45   3.3400   1.0719318e+00   4.0228894e-02   -1.4388079e-01
46   3.3500   1.0727420e+00   4.0421753e-02   -1.4387670e-01
47   3.3600   1.0735460e+00   4.0614915e-02   -1.4387185e-01
48   3.3800   1.0751160e+00   4.1001214e-02   -1.4385496e-01
49   3.4000   1.0766304e+00   4.1387001e-02   -1.4382704e-01
50   3.5000   1.0835840e+00   4.3317559e-02   -1.4357765e-01
51   3.6000   1.0891209e+00   4.5220862e-02   -1.4303880e-01
52   3.7000   1.0933910e+00   4.7104175e-02   -1.4226978e-01
53   3.8000   1.0969824e+00   4.8995417e-02   -1.4140087e-01
54   3.9000   1.0995195e+00   5.0858837e-02   -1.4035460e-01
55   4.0000   1.1014496e+00   5.2724540e-02   -1.3923458e-01
56   4.1000   1.1026612e+00   5.4574551e-02   -1.3801906e-01
57   4.2000   1.1032800e+00   5.6415269e-02   -1.3674426e-01
58   4.3000   1.1028964e+00   5.8211031e-02   -1.3529016e-01
