Buffet: No. AoA Cl l_bound ubound
39 2.9400 0.9953 [2.9400,2.9400]
Cruise: No. AoA Cl/Cd Cl_error
18 1.7818 34.5896 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   7.7445237e-02   1.0011682e-02   -1.2025770e-01
 2   -1.7500   1.2555503e-01   1.0004630e-02   -1.2182147e-01
 3   -1.5000   1.7329026e-01   1.0026452e-02   -1.2337138e-01
 4   -1.2500   2.2073400e-01   1.0075450e-02   -1.2488690e-01
 5   -1.0000   2.6794840e-01   1.0151640e-02   -1.2634690e-01
 6   -0.7500   3.1502416e-01   1.0254032e-02   -1.2773750e-01
 7   -0.5000   3.6205561e-01   1.0382512e-02   -1.2904470e-01
 8   -0.2500   4.0914213e-01   1.0538560e-02   -1.3025100e-01
 9   0.0000   4.5642051e-01   1.0737420e-02   -1.3136021e-01
10   0.2500   5.0397490e-01   1.1020260e-02   -1.3242380e-01
11   0.5000   5.5186670e-01   1.1426900e-02   -1.3351630e-01
12   0.7500   6.0011759e-01   1.1992480e-02   -1.3470420e-01
13   1.0000   6.4838096e-01   1.2741750e-02   -1.3594750e-01
14   1.2500   6.9676315e-01   1.3704917e-02   -1.3722103e-01
15   1.5000   7.4424322e-01   1.4887600e-02   -1.3812592e-01
16   1.6000   7.6247016e-01   1.5359240e-02   -1.3814830e-01
17   1.7000   7.8256227e-01   1.5305820e-02   -1.3719576e-01
18   1.7818   7.9995295e-01   1.5237910e-02   -1.3619400e-01
19   1.8000   8.0396164e-01   1.5265310e-02   -1.3606780e-01
20   1.9000   8.2619118e-01   1.5626970e-02   -1.3579595e-01
21   2.0000   8.4780253e-01   1.6263510e-02   -1.3591670e-01
22   2.1000   8.6907900e-01   1.7122920e-02   -1.3636180e-01
23   2.2000   8.8964585e-01   1.8166670e-02   -1.3700800e-01
24   2.3000   9.0908396e-01   1.9362473e-02   -1.3774340e-01
25   2.4000   9.2684607e-01   2.0670742e-02   -1.3841790e-01
26   2.5000   9.4272007e-01   2.2058310e-02   -1.3893250e-01
27   2.6000   9.5701354e-01   2.3514630e-02   -1.3930770e-01
28   2.7000   9.6988491e-01   2.5024130e-02   -1.3953490e-01
29   2.8000   9.8141094e-01   2.6571800e-02   -1.3959900e-01
30   2.8200   9.8355924e-01   2.6884790e-02   -1.3959130e-01
31   2.8400   9.8566230e-01   2.7198945e-02   -1.3957800e-01
32   2.8600   9.8770690e-01   2.7513520e-02   -1.3955580e-01
33   2.8800   9.8970330e-01   2.7828980e-02   -1.3952720e-01
34   2.8900   9.9068070e-01   2.7986813e-02   -1.3950970e-01
35   2.9000   9.9164420e-01   2.8144735e-02   -1.3949010e-01
36   2.9100   9.9258820e-01   2.8302420e-02   -1.3946700e-01
37   2.9200   9.9351733e-01   2.8460110e-02   -1.3944150e-01
38   2.9300   9.9443373e-01   2.8617884e-02   -1.3941430e-01
39   2.9400   9.9533211e-01   2.8775480e-02   -1.3938400e-01
40   2.9500   9.9620468e-01   2.8932427e-02   -1.3934866e-01
41   2.9600   9.9705551e-01   2.9088940e-02   -1.3930920e-01
42   2.9700   9.9788548e-01   2.9245114e-02   -1.3926605e-01
43   2.9800   9.9869496e-01   2.9400981e-02   -1.3921943e-01
44   2.9900   9.9949515e-01   2.9557122e-02   -1.3917200e-01
45   3.0000   1.0002760e+00   2.9713050e-02   -1.3912140e-01
46   3.1000   1.0077524e+00   3.1294199e-02   -1.3859801e-01
47   3.2000   1.0144600e+00   3.2894920e-02   -1.3798910e-01
48   3.3000   1.0195915e+00   3.4456651e-02   -1.3709930e-01
49   3.4000   1.0246108e+00   3.6076823e-02   -1.3630376e-01
50   3.5000   1.0277370e+00   3.7622160e-02   -1.3515150e-01
51   3.6000   1.0313396e+00   3.9247539e-02   -1.3421340e-01
52   3.7000   1.0340061e+00   4.0848379e-02   -1.3315009e-01
