Buffet: No. AoA Cl l_bound ubound
40 3.2800 1.0327 [3.2800,3.2800]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9482 28.2208 0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   3.7150437e-02   1.0004580e-02   -1.1256370e-01
 2   -1.7500   8.5200662e-02   9.9778928e-03   -1.1395510e-01
 3   -1.5000   1.3282132e-01   9.9798527e-03   -1.1533320e-01
 4   -1.2500   1.8008610e-01   1.0009485e-02   -1.1667060e-01
 5   -1.0000   2.2707611e-01   1.0065240e-02   -1.1794740e-01
 6   -0.7500   2.7386044e-01   1.0146901e-02   -1.1914110e-01
 7   -0.5000   3.2050240e-01   1.0254080e-02   -1.2022670e-01
 8   -0.2500   3.6709312e-01   1.0386560e-02   -1.2118440e-01
 9   0.0000   4.1369547e-01   1.0544850e-02   -1.2197850e-01
10   0.2500   4.6041700e-01   1.0729720e-02   -1.2257330e-01
11   0.5000   5.0739380e-01   1.0942020e-02   -1.2291580e-01
12   0.7500   5.5482380e-01   1.1184950e-02   -1.2291140e-01
13   1.0000   6.0304046e-01   1.1494280e-02   -1.2244480e-01
14   1.2500   6.5245380e-01   1.1996312e-02   -1.2149630e-01
15   1.5000   7.0347872e-01   1.2913320e-02   -1.2047240e-01
16   1.6000   7.2446092e-01   1.3431460e-02   -1.2019770e-01
17   1.7000   7.4566822e-01   1.4041210e-02   -1.2004400e-01
18   1.8000   7.6728926e-01   1.4747350e-02   -1.2007660e-01
19   1.9000   7.8929504e-01   1.5556000e-02   -1.2033476e-01
20   1.9482   8.0000102e-01   1.5985010e-02   -1.2054770e-01
21   2.0000   8.1153739e-01   1.6473520e-02   -1.2083427e-01
22   2.1000   8.3377813e-01   1.7500420e-02   -1.2155280e-01
23   2.2000   8.5541504e-01   1.8625490e-02   -1.2239370e-01
24   2.3000   8.7744269e-01   1.9886842e-02   -1.2357539e-01
25   2.4000   8.9825055e-01   2.1244715e-02   -1.2476840e-01
26   2.5000   9.1882529e-01   2.2728995e-02   -1.2616633e-01
27   2.6000   9.3867934e-01   2.4328016e-02   -1.2766709e-01
28   2.7000   9.5668252e-01   2.5995347e-02   -1.2898177e-01
29   2.8000   9.7325381e-01   2.7731009e-02   -1.3016960e-01
30   2.9000   9.8891552e-01   2.9548449e-02   -1.3132717e-01
31   3.0000   1.0021522e+00   3.1360162e-02   -1.3204431e-01
32   3.1000   1.0146044e+00   3.3232101e-02   -1.3270908e-01
33   3.2000   1.0252990e+00   3.5103420e-02   -1.3306460e-01
34   3.2200   1.0272210e+00   3.5475280e-02   -1.3309370e-01
35   3.2300   1.0281670e+00   3.5661607e-02   -1.3310639e-01
36   3.2400   1.0290990e+00   3.5847976e-02   -1.3311670e-01
37   3.2500   1.0300180e+00   3.6034445e-02   -1.3312510e-01
38   3.2600   1.0309240e+00   3.6220826e-02   -1.3313090e-01
39   3.2700   1.0318120e+00   3.6407004e-02   -1.3313340e-01
40   3.2800   1.0326860e+00   3.6593145e-02   -1.3313340e-01
41   3.2900   1.0335490e+00   3.6779391e-02   -1.3313170e-01
42   3.3000   1.0344020e+00   3.6965732e-02   -1.3312840e-01
43   3.3100   1.0352450e+00   3.7152224e-02   -1.3312370e-01
44   3.3200   1.0360680e+00   3.7338290e-02   -1.3311497e-01
45   3.3300   1.0368680e+00   3.7523678e-02   -1.3310110e-01
46   3.3400   1.0376610e+00   3.7709300e-02   -1.3308640e-01
47   3.3600   1.0392120e+00   3.8080570e-02   -1.3305160e-01
48   3.3800   1.0406940e+00   3.8450420e-02   -1.3300320e-01
49   3.4000   1.0421070e+00   3.8818690e-02   -1.3294070e-01
50   3.5000   1.0482460e+00   4.0643477e-02   -1.3245838e-01
51   3.6000   1.0537770e+00   4.2494931e-02   -1.3192903e-01
52   3.7000   1.0576105e+00   4.4286725e-02   -1.3105329e-01
53   3.8000   1.0611890e+00   4.6111451e-02   -1.3022590e-01
54   3.9000   1.0636220e+00   4.7906180e-02   -1.2920294e-01
55   4.0000   1.0657228e+00   4.9713460e-02   -1.2818473e-01
