Buffet: No. AoA Cl l_bound ubound
43 3.4900 1.0207 [3.4900,3.4900]
Cruise: No. AoA Cl/Cd Cl_error
22 2.1606 28.3688 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   9.3163056e-03   1.0141122e-02   -1.0042610e-01
 2   -1.7500   5.6783616e-02   1.0100370e-02   -1.0196520e-01
 3   -1.5000   1.0386980e-01   1.0089294e-02   -1.0350660e-01
 4   -1.2500   1.5062560e-01   1.0106437e-02   -1.0501920e-01
 5   -1.0000   1.9712383e-01   1.0150047e-02   -1.0648280e-01
 6   -0.7500   2.4339920e-01   1.0220296e-02   -1.0786930e-01
 7   -0.5000   2.8952430e-01   1.0316010e-02   -1.0916210e-01
 8   -0.2500   3.3557150e-01   1.0436742e-02   -1.1034257e-01
 9   0.0000   3.8158710e-01   1.0583160e-02   -1.1138050e-01
10   0.2500   4.2765479e-01   1.0755320e-02   -1.1225000e-01
11   0.5000   4.7388630e-01   1.0953850e-02   -1.1291790e-01
12   0.7500   5.2043000e-01   1.1180887e-02   -1.1333650e-01
13   1.0000   5.6745865e-01   1.1461180e-02   -1.1346640e-01
14   1.2500   6.1514030e-01   1.1860550e-02   -1.1332120e-01
15   1.5000   6.6350692e-01   1.2354570e-02   -1.1276540e-01
16   1.6000   6.8351973e-01   1.2578138e-02   -1.1236250e-01
17   1.7000   7.0382927e-01   1.2886650e-02   -1.1196310e-01
18   1.8000   7.2447486e-01   1.3305540e-02   -1.1164870e-01
19   1.9000   7.4525901e-01   1.3842620e-02   -1.1144020e-01
20   2.0000   7.6608809e-01   1.4500300e-02   -1.1136280e-01
21   2.1000   7.8703352e-01   1.5281310e-02   -1.1146190e-01
22   2.1606   7.9987655e-01   1.5816560e-02   -1.1164212e-01
23   2.2000   8.0840896e-01   1.6194860e-02   -1.1183260e-01
24   2.3000   8.2942226e-01   1.7218920e-02   -1.1234047e-01
25   2.4000   8.5001275e-01   1.8352770e-02   -1.1298460e-01
26   2.5000   8.7032839e-01   1.9599760e-02   -1.1380184e-01
27   2.6000   8.9020619e-01   2.0953350e-02   -1.1475995e-01
28   2.7000   9.0949435e-01   2.2406590e-02   -1.1582140e-01
29   2.8000   9.2809508e-01   2.3953700e-02   -1.1695390e-01
30   2.9000   9.4582857e-01   2.5587276e-02   -1.1810554e-01
31   3.0000   9.6222991e-01   2.7281038e-02   -1.1913762e-01
32   3.1000   9.7680321e-01   2.9002600e-02   -1.1992340e-01
33   3.2000   9.9052829e-01   3.0786080e-02   -1.2065230e-01
34   3.3000   1.0024280e+00   3.2576800e-02   -1.2108600e-01
35   3.4000   1.0126030e+00   3.4362510e-02   -1.2121570e-01
36   3.4200   1.0144890e+00   3.4721470e-02   -1.2121930e-01
37   3.4300   1.0154090e+00   3.4900890e-02   -1.2121710e-01
38   3.4400   1.0163180e+00   3.5080480e-02   -1.2121320e-01
39   3.4500   1.0172130e+00   3.5260070e-02   -1.2120710e-01
40   3.4600   1.0180940e+00   3.5439590e-02   -1.2119850e-01
41   3.4700   1.0189620e+00   3.5619131e-02   -1.2118770e-01
42   3.4800   1.0198160e+00   3.5798596e-02   -1.2117450e-01
43   3.4900   1.0206649e+00   3.5978456e-02   -1.2116100e-01
44   3.5000   1.0214910e+00   3.6157752e-02   -1.2114286e-01
45   3.5100   1.0222998e+00   3.6336689e-02   -1.2112114e-01
46   3.5200   1.0230893e+00   3.6515240e-02   -1.2109564e-01
47   3.5300   1.0238691e+00   3.6693938e-02   -1.2106885e-01
48   3.5400   1.0246437e+00   3.6872994e-02   -1.2104183e-01
49   3.5600   1.0261360e+00   3.7229946e-02   -1.2097662e-01
50   3.5800   1.0275618e+00   3.7585640e-02   -1.2089843e-01
51   3.6000   1.0289251e+00   3.7940230e-02   -1.2080865e-01
52   3.7000   1.0344777e+00   3.9673992e-02   -1.2010470e-01
53   3.8000   1.0391410e+00   4.1413278e-02   -1.1929628e-01
54   3.9000   1.0432477e+00   4.3174113e-02   -1.1843753e-01
55   4.0000   1.0455732e+00   4.4868762e-02   -1.1724675e-01
56   4.1000   1.0474255e+00   4.6577807e-02   -1.1603644e-01
57   4.2000   1.0484477e+00   4.8269408e-02   -1.1474222e-01
