Buffet: No. AoA Cl l_bound ubound
43 3.4300 1.0326 [3.4300,3.4300]
Cruise: No. AoA Cl/Cd Cl_error
21 2.0693 29.7506 0.0003
No.   AoA         CL              CD               CM
 1   -2.0000   2.3875526e-02   1.0201247e-02   -1.0978993e-01
 2   -1.7500   7.1641653e-02   1.0169570e-02   -1.1133327e-01
 3   -1.5000   1.1898635e-01   1.0167460e-02   -1.1287280e-01
 4   -1.2500   1.6596250e-01   1.0193583e-02   -1.1437740e-01
 5   -1.0000   2.1264267e-01   1.0246750e-02   -1.1582789e-01
 6   -0.7500   2.5908206e-01   1.0326250e-02   -1.1720137e-01
 7   -0.5000   3.0534160e-01   1.0431580e-02   -1.1847740e-01
 8   -0.2500   3.5148010e-01   1.0562690e-02   -1.1963370e-01
 9   0.0000   3.9755510e-01   1.0719650e-02   -1.2064280e-01
10   0.2500   4.4364330e-01   1.0902620e-02   -1.2147460e-01
11   0.5000   4.8983310e-01   1.1112150e-02   -1.2208936e-01
12   0.7500   5.3622610e-01   1.1349660e-02   -1.2242370e-01
13   1.0000   5.8302298e-01   1.1622830e-02   -1.2236850e-01
14   1.2500   6.3049988e-01   1.1959410e-02   -1.2184220e-01
15   1.5000   6.7933680e-01   1.2427590e-02   -1.2070150e-01
16   1.6000   6.9949270e-01   1.2698640e-02   -1.2014920e-01
17   1.7000   7.2008723e-01   1.3035190e-02   -1.1962620e-01
18   1.8000   7.4117826e-01   1.3448000e-02   -1.1919890e-01
19   1.9000   7.6279493e-01   1.3946830e-02   -1.1893400e-01
20   2.0000   7.8466309e-01   1.4540650e-02   -1.1884780e-01
21   2.0693   8.0026776e-01   1.5017750e-02   -1.1897275e-01
22   2.1000   8.0683947e-01   1.5243050e-02   -1.1900780e-01
23   2.2000   8.2925210e-01   1.6064420e-02   -1.1944950e-01
24   2.3000   8.5140308e-01   1.7008800e-02   -1.2011710e-01
25   2.4000   8.7300354e-01   1.8078144e-02   -1.2096920e-01
26   2.5000   8.9443766e-01   1.9288090e-02   -1.2208506e-01
27   2.6000   9.1429025e-01   2.0607260e-02   -1.2316307e-01
28   2.7000   9.3370790e-01   2.2058718e-02   -1.2441349e-01
29   2.8000   9.5162461e-01   2.3603870e-02   -1.2557830e-01
30   2.9000   9.6807620e-01   2.5232549e-02   -1.2663120e-01
31   3.0000   9.8369351e-01   2.6952664e-02   -1.2767920e-01
32   3.1000   9.9702045e-01   2.8692106e-02   -1.2833820e-01
33   3.2000   1.0097687e+00   3.0507612e-02   -1.2900446e-01
34   3.3000   1.0205850e+00   3.2328586e-02   -1.2932889e-01
35   3.3200   1.0225650e+00   3.2692790e-02   -1.2935952e-01
36   3.3400   1.0244930e+00   3.3057631e-02   -1.2938168e-01
37   3.3600   1.0263900e+00   3.3424378e-02   -1.2940117e-01
38   3.3800   1.0282255e+00   3.3790925e-02   -1.2940899e-01
39   3.3900   1.0291230e+00   3.3974169e-02   -1.2940908e-01
40   3.4000   1.0300156e+00   3.4157833e-02   -1.2940902e-01
41   3.4100   1.0308950e+00   3.4341522e-02   -1.2940661e-01
42   3.4200   1.0317610e+00   3.4525257e-02   -1.2940190e-01
43   3.4300   1.0326141e+00   3.4709062e-02   -1.2939496e-01
44   3.4400   1.0334550e+00   3.4892867e-02   -1.2938570e-01
45   3.4500   1.0342854e+00   3.5076864e-02   -1.2937507e-01
46   3.4600   1.0351072e+00   3.5261095e-02   -1.2936326e-01
47   3.4700   1.0359190e+00   3.5445387e-02   -1.2934980e-01
48   3.4800   1.0367194e+00   3.5629696e-02   -1.2933421e-01
49   3.4900   1.0374994e+00   3.5813578e-02   -1.2931440e-01
50   3.5000   1.0382660e+00   3.5997380e-02   -1.2929210e-01
51   3.6000   1.0451960e+00   3.7828392e-02   -1.2893225e-01
52   3.7000   1.0507684e+00   3.9643965e-02   -1.2832550e-01
53   3.8000   1.0556582e+00   4.1471997e-02   -1.2762553e-01
54   3.9000   1.0591965e+00   4.3258646e-02   -1.2666137e-01
55   4.0000   1.0626692e+00   4.5099489e-02   -1.2579113e-01
56   4.1000   1.0645085e+00   4.6868675e-02   -1.2458952e-01
57   4.2000   1.0667427e+00   4.8704256e-02   -1.2357109e-01
58   4.3000   1.0678932e+00   5.0496938e-02   -1.2236899e-01
