Buffet: No. AoA Cl l_bound ubound
42 3.2300 1.0443 [3.2300,3.2300]
Cruise: No. AoA Cl/Cd Cl_error
19 1.8093 29.9475 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   7.2845050e-02   1.0302393e-02   -1.2324540e-01
 2   -1.7500   1.2069150e-01   1.0296030e-02   -1.2480070e-01
 3   -1.5000   1.6810128e-01   1.0318650e-02   -1.2632340e-01
 4   -1.2500   2.1513420e-01   1.0369860e-02   -1.2778740e-01
 5   -1.0000   2.6186000e-01   1.0448260e-02   -1.2917360e-01
 6   -0.7500   3.0835512e-01   1.0553010e-02   -1.3046445e-01
 7   -0.5000   3.5466990e-01   1.0684320e-02   -1.3163490e-01
 8   -0.2500   4.0088650e-01   1.0841870e-02   -1.3266440e-01
 9   0.0000   4.4707799e-01   1.1025620e-02   -1.3352300e-01
10   0.2500   4.9331516e-01   1.1236710e-02   -1.3416880e-01
11   0.5000   5.3972799e-01   1.1475755e-02   -1.3455230e-01
12   0.7500   5.8647973e-01   1.1744190e-02   -1.3457940e-01
13   1.0000   6.3396734e-01   1.2056050e-02   -1.3409060e-01
14   1.2500   6.8277411e-01   1.2525127e-02   -1.3305200e-01
15   1.5000   7.3341243e-01   1.3352880e-02   -1.3189790e-01
16   1.6000   7.5433215e-01   1.3815500e-02   -1.3157240e-01
17   1.7000   7.7577666e-01   1.4361969e-02   -1.3142414e-01
18   1.8000   7.9792519e-01   1.4999290e-02   -1.3153880e-01
19   1.8093   7.9999940e-01   1.5063080e-02   -1.3156294e-01
20   1.9000   8.2027035e-01   1.5727550e-02   -1.3187842e-01
21   2.0000   8.4263178e-01   1.6554630e-02   -1.3245386e-01
22   2.1000   8.6491331e-01   1.7491055e-02   -1.3327970e-01
23   2.2000   8.8694954e-01   1.8548802e-02   -1.3434850e-01
24   2.3000   9.0761080e-01   1.9713180e-02   -1.3542950e-01
25   2.4000   9.2821345e-01   2.1014320e-02   -1.3677700e-01
26   2.5000   9.4690743e-01   2.2412240e-02   -1.3797540e-01
27   2.6000   9.6464542e-01   2.3923980e-02   -1.3919720e-01
28   2.7000   9.8132861e-01   2.5535483e-02   -1.4038630e-01
29   2.8000   9.9648435e-01   2.7217896e-02   -1.4139156e-01
30   2.9000   1.0096810e+00   2.8939603e-02   -1.4209065e-01
31   3.0000   1.0215440e+00   3.0701450e-02   -1.4258050e-01
32   3.1000   1.0322640e+00   3.2500860e-02   -1.4290320e-01
33   3.1200   1.0342590e+00   3.2864000e-02   -1.4294370e-01
34   3.1400   1.0362030e+00   3.3228050e-02   -1.4297580e-01
35   3.1600   1.0380970e+00   3.3592580e-02   -1.4299906e-01
36   3.1700   1.0390210e+00   3.3774785e-02   -1.4300610e-01
37   3.1800   1.0399330e+00   3.3957180e-02   -1.4301120e-01
38   3.1900   1.0408330e+00   3.4139720e-02   -1.4301420e-01
39   3.2000   1.0417230e+00   3.4322600e-02   -1.4301610e-01
40   3.2100   1.0425990e+00   3.4505490e-02   -1.4301510e-01
41   3.2200   1.0434670e+00   3.4688630e-02   -1.4301290e-01
42   3.2300   1.0443190e+00   3.4871690e-02   -1.4300760e-01
43   3.2400   1.0451590e+00   3.5054850e-02   -1.4300010e-01
44   3.2500   1.0459910e+00   3.5238360e-02   -1.4299170e-01
45   3.2600   1.0468090e+00   3.5421800e-02   -1.4298060e-01
46   3.2700   1.0476190e+00   3.5605483e-02   -1.4296810e-01
47   3.2800   1.0484130e+00   3.5788960e-02   -1.4295250e-01
48   3.3000   1.0499700e+00   3.6156140e-02   -1.4291540e-01
49   3.4000   1.0571770e+00   3.7998662e-02   -1.4263080e-01
50   3.5000   1.0635369e+00   3.9849752e-02   -1.4220333e-01
51   3.6000   1.0686089e+00   4.1675455e-02   -1.4151448e-01
52   3.7000   1.0725608e+00   4.3492790e-02   -1.4063283e-01
53   3.8000   1.0758148e+00   4.5297038e-02   -1.3962641e-01
54   3.9000   1.0787000e+00   4.7131113e-02   -1.3863060e-01
55   4.0000   1.0802800e+00   4.8907146e-02   -1.3736920e-01
56   4.1000   1.0818512e+00   5.0720141e-02   -1.3618695e-01
