Buffet: No. AoA Cl l_bound ubound
38 2.7500 1.0444 [2.7500,2.7500]
Cruise: No. AoA Cl/Cd Cl_error
15 1.3564 28.8499 0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   1.4091589e-01   1.0219273e-02   -1.3504580e-01
 2   -1.7500   1.8943211e-01   1.0237980e-02   -1.3650430e-01
 3   -1.5000   2.3754663e-01   1.0285850e-02   -1.3790158e-01
 4   -1.2500   2.8533933e-01   1.0361700e-02   -1.3921045e-01
 5   -1.0000   3.3289210e-01   1.0465100e-02   -1.4040680e-01
 6   -0.7500   3.8029890e-01   1.0595570e-02   -1.4146510e-01
 7   -0.5000   4.2765810e-01   1.0752980e-02   -1.4235150e-01
 8   -0.2500   4.7508268e-01   1.0939110e-02   -1.4301242e-01
 9   0.0000   5.2271877e-01   1.1170905e-02   -1.4333110e-01
10   0.2500   5.7068560e-01   1.1528944e-02   -1.4324270e-01
11   0.5000   6.1934786e-01   1.2102327e-02   -1.4286831e-01
12   0.7500   6.6927945e-01   1.2943710e-02   -1.4244770e-01
13   1.0000   7.2129570e-01   1.4091030e-02   -1.4238530e-01
14   1.2500   7.7605198e-01   1.5590230e-02   -1.4318690e-01
15   1.3564   8.0017447e-01   1.6360860e-02   -1.4392440e-01
16   1.5000   8.3252243e-01   1.7547260e-02   -1.4522060e-01
17   1.6000   8.5483312e-01   1.8494240e-02   -1.4635730e-01
18   1.7000   8.7693792e-01   1.9553030e-02   -1.4769360e-01
19   1.8000   8.9899455e-01   2.0744150e-02   -1.4927781e-01
20   1.9000   9.1938504e-01   2.2035990e-02   -1.5075452e-01
21   2.0000   9.3943578e-01   2.3460045e-02   -1.5238940e-01
22   2.1000   9.5820020e-01   2.4982905e-02   -1.5394548e-01
23   2.2000   9.7519963e-01   2.6580369e-02   -1.5528290e-01
24   2.3000   9.9128753e-01   2.8264110e-02   -1.5656600e-01
25   2.4000   1.0051660e+00   2.9965800e-02   -1.5743560e-01
26   2.5000   1.0184010e+00   3.1737490e-02   -1.5827513e-01
27   2.6000   1.0297230e+00   3.3513580e-02   -1.5874884e-01
28   2.6200   1.0318290e+00   3.3870400e-02   -1.5881429e-01
29   2.6400   1.0338940e+00   3.4228064e-02   -1.5887305e-01
30   2.6600   1.0359050e+00   3.4585610e-02   -1.5892083e-01
31   2.6800   1.0378657e+00   3.4943386e-02   -1.5895910e-01
32   2.6900   1.0388340e+00   3.5122710e-02   -1.5897658e-01
33   2.7000   1.0397920e+00   3.5302241e-02   -1.5899237e-01
34   2.7100   1.0407370e+00   3.5481815e-02   -1.5900559e-01
35   2.7200   1.0416640e+00   3.5661231e-02   -1.5901525e-01
36   2.7300   1.0425861e+00   3.5841080e-02   -1.5902458e-01
37   2.7400   1.0435010e+00   3.6021177e-02   -1.5903280e-01
38   2.7500   1.0444040e+00   3.6201300e-02   -1.5903880e-01
39   2.7600   1.0452970e+00   3.6381567e-02   -1.5904315e-01
40   2.7700   1.0461750e+00   3.6561686e-02   -1.5904447e-01
41   2.7800   1.0470400e+00   3.6741680e-02   -1.5904290e-01
42   2.7900   1.0478974e+00   3.6921949e-02   -1.5904054e-01
43   2.8000   1.0487450e+00   3.7102307e-02   -1.5903630e-01
44   2.9000   1.0564710e+00   3.8898120e-02   -1.5884420e-01
45   3.0000   1.0628300e+00   4.0677962e-02   -1.5838500e-01
46   3.1000   1.0687619e+00   4.2485140e-02   -1.5789075e-01
47   3.2000   1.0736905e+00   4.4273606e-02   -1.5720179e-01
48   3.3000   1.0777440e+00   4.6063369e-02   -1.5638833e-01
49   3.4000   1.0807234e+00   4.7820017e-02   -1.5536054e-01
50   3.5000   1.0840237e+00   4.9636237e-02   -1.5450687e-01
51   3.6000   1.0860340e+00   5.1405064e-02   -1.5339561e-01
