Buffet: No. AoA Cl l_bound ubound
41 3.2200 1.0652 [3.2200,3.2200]
Cruise: No. AoA Cl/Cd Cl_error
18 1.7870 30.9076 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   6.7534073e-02   1.0208350e-02   -1.2556070e-01
 2   -1.7500   1.1631063e-01   1.0183840e-02   -1.2733260e-01
 3   -1.5000   1.6458008e-01   1.0190155e-02   -1.2905151e-01
 4   -1.2500   2.1242577e-01   1.0225660e-02   -1.3069850e-01
 5   -1.0000   2.5993170e-01   1.0289220e-02   -1.3225818e-01
 6   -0.7500   3.0715290e-01   1.0380050e-02   -1.3370696e-01
 7   -0.5000   3.5418145e-01   1.0497550e-02   -1.3503175e-01
 8   -0.2500   4.0107310e-01   1.0642130e-02   -1.3620620e-01
 9   0.0000   4.4791830e-01   1.0813430e-02   -1.3720560e-01
10   0.2500   4.9480565e-01   1.1012220e-02   -1.3799440e-01
11   0.5000   5.4182000e-01   1.1240100e-02   -1.3851460e-01
12   0.7500   5.8911604e-01   1.1498790e-02   -1.3866570e-01
13   1.0000   6.3683453e-01   1.1817580e-02   -1.3816621e-01
14   1.2500   6.8572899e-01   1.2262150e-02   -1.3685370e-01
15   1.5000   7.3698641e-01   1.2896120e-02   -1.3495290e-01
16   1.6000   7.5832031e-01   1.3249590e-02   -1.3420590e-01
17   1.7000   7.8035613e-01   1.3683740e-02   -1.3361008e-01
18   1.7870   7.9991980e-01   1.4135560e-02   -1.3326130e-01
19   1.8000   8.0296562e-01   1.4209500e-02   -1.3324030e-01
20   1.9000   8.2614953e-01   1.4837070e-02   -1.3317760e-01
21   2.0000   8.4978502e-01   1.5577850e-02   -1.3347510e-01
22   2.1000   8.7366432e-01   1.6449730e-02   -1.3415993e-01
23   2.2000   8.9674747e-01   1.7454370e-02   -1.3507684e-01
24   2.3000   9.1956403e-01   1.8621048e-02   -1.3632654e-01
25   2.4000   9.4150392e-01   1.9941265e-02   -1.3776623e-01
26   2.5000   9.6291768e-01   2.1434676e-02   -1.3945050e-01
27   2.6000   9.8179358e-01   2.3024100e-02   -1.4087460e-01
28   2.7000   9.9956687e-01   2.4738008e-02   -1.4230437e-01
29   2.8000   1.0160316e+00   2.6547306e-02   -1.4364015e-01
30   2.9000   1.0296598e+00   2.8366616e-02   -1.4446940e-01
31   3.0000   1.0424342e+00   3.0249785e-02   -1.4522388e-01
32   3.1000   1.0538010e+00   3.2168540e-02   -1.4577230e-01
33   3.1200   1.0558330e+00   3.2550510e-02   -1.4583420e-01
34   3.1400   1.0578240e+00   3.2933341e-02   -1.4588950e-01
35   3.1600   1.0597520e+00   3.3315587e-02   -1.4593203e-01
36   3.1700   1.0606934e+00   3.3506665e-02   -1.4594910e-01
37   3.1800   1.0616290e+00   3.3698203e-02   -1.4596570e-01
38   3.1900   1.0625520e+00   3.3889918e-02   -1.4598040e-01
39   3.2000   1.0634660e+00   3.4081901e-02   -1.4599380e-01
40   3.2100   1.0643640e+00   3.4273720e-02   -1.4600400e-01
41   3.2200   1.0652480e+00   3.4465540e-02   -1.4601171e-01
42   3.2300   1.0661230e+00   3.4657490e-02   -1.4601780e-01
43   3.2400   1.0669840e+00   3.4849357e-02   -1.4602130e-01
44   3.2500   1.0678360e+00   3.5041440e-02   -1.4602360e-01
45   3.2600   1.0686743e+00   3.5233382e-02   -1.4602308e-01
46   3.2700   1.0694937e+00   3.5424946e-02   -1.4601848e-01
47   3.2800   1.0703010e+00   3.5616589e-02   -1.4601200e-01
48   3.3000   1.0718890e+00   3.6000334e-02   -1.4599480e-01
49   3.4000   1.0788160e+00   3.7899605e-02   -1.4570383e-01
50   3.5000   1.0847686e+00   3.9804964e-02   -1.4525737e-01
51   3.6000   1.0902463e+00   4.1731071e-02   -1.4476521e-01
52   3.7000   1.0942125e+00   4.3605071e-02   -1.4395649e-01
53   3.8000   1.0980000e+00   4.5526532e-02   -1.4321282e-01
54   3.9000   1.1004490e+00   4.7389538e-02   -1.4219223e-01
55   4.0000   1.1030730e+00   4.9306042e-02   -1.4130193e-01
