Buffet: No. AoA Cl l_bound ubound
40 3.0300 1.0255 [3.0300,3.0300]
Cruise: No. AoA Cl/Cd Cl_error
17 1.6871 30.3489 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   9.2635116e-02   9.9596880e-03   -1.2009120e-01
 2   -1.7500   1.4016413e-01   9.9641543e-03   -1.2149120e-01
 3   -1.5000   1.8733030e-01   9.9963487e-03   -1.2286730e-01
 4   -1.2500   2.3421670e-01   1.0055020e-02   -1.2419830e-01
 5   -1.0000   2.8089603e-01   1.0139380e-02   -1.2546430e-01
 6   -0.7500   3.2744640e-01   1.0248790e-02   -1.2664560e-01
 7   -0.5000   3.7392243e-01   1.0383830e-02   -1.2771559e-01
 8   -0.2500   4.2042928e-01   1.0544360e-02   -1.2865550e-01
 9   0.0000   4.6706200e-01   1.0730970e-02   -1.2943364e-01
10   0.2500   5.1397785e-01   1.0947190e-02   -1.3001380e-01
11   0.5000   5.6129894e-01   1.1225650e-02   -1.3037680e-01
12   0.7500   6.0916613e-01   1.1610040e-02   -1.3055420e-01
13   1.0000   6.5783574e-01   1.2106890e-02   -1.3053910e-01
14   1.2500   7.0798657e-01   1.2735105e-02   -1.3024105e-01
15   1.5000   7.5997205e-01   1.3774340e-02   -1.3014710e-01
16   1.6000   7.8121465e-01   1.4360240e-02   -1.3033510e-01
17   1.6871   7.9988784e-01   1.4960245e-02   -1.3064990e-01
18   1.7000   8.0278662e-01   1.5058810e-02   -1.3073213e-01
19   1.8000   8.2443967e-01   1.5872770e-02   -1.3132710e-01
20   1.9000   8.4559757e-01   1.6798620e-02   -1.3203698e-01
21   2.0000   8.6649392e-01   1.7846030e-02   -1.3291882e-01
22   2.1000   8.8705799e-01   1.9017630e-02   -1.3396740e-01
23   2.2000   9.0697547e-01   2.0307590e-02   -1.3511800e-01
24   2.3000   9.2612519e-01   2.1709650e-02   -1.3633148e-01
25   2.4000   9.4451044e-01   2.3220960e-02   -1.3759307e-01
26   2.5000   9.6082940e-01   2.4780517e-02   -1.3856428e-01
27   2.6000   9.7653191e-01   2.6436065e-02   -1.3958260e-01
28   2.7000   9.9002460e-01   2.8101265e-02   -1.4021077e-01
29   2.8000   1.0022780e+00   2.9802793e-02   -1.4066655e-01
30   2.9000   1.0132595e+00   3.1530322e-02   -1.4093314e-01
31   2.9200   1.0153029e+00   3.1878172e-02   -1.4096284e-01
32   2.9400   1.0172833e+00   3.2225866e-02   -1.4098116e-01
33   2.9600   1.0192098e+00   3.2573741e-02   -1.4099032e-01
34   2.9700   1.0201534e+00   3.2747730e-02   -1.4099158e-01
35   2.9800   1.0210820e+00   3.2921634e-02   -1.4099000e-01
36   2.9900   1.0219950e+00   3.3095412e-02   -1.4098550e-01
37   3.0000   1.0228930e+00   3.3269130e-02   -1.4097830e-01
38   3.0100   1.0237800e+00   3.3442950e-02   -1.4096940e-01
39   3.0200   1.0246570e+00   3.3616920e-02   -1.4095890e-01
40   3.0300   1.0255251e+00   3.3791127e-02   -1.4094740e-01
41   3.0400   1.0263720e+00   3.3964845e-02   -1.4093120e-01
42   3.0500   1.0272030e+00   3.4138405e-02   -1.4091210e-01
43   3.0600   1.0280295e+00   3.4312442e-02   -1.4089301e-01
44   3.0700   1.0288442e+00   3.4486525e-02   -1.4087200e-01
45   3.0800   1.0296500e+00   3.4660740e-02   -1.4084967e-01
46   3.1000   1.0312036e+00   3.5007813e-02   -1.4079257e-01
47   3.2000   1.0384070e+00   3.6747608e-02   -1.4041998e-01
48   3.3000   1.0445346e+00   3.8479523e-02   -1.3986404e-01
49   3.4000   1.0490143e+00   4.0168982e-02   -1.3899997e-01
50   3.5000   1.0531730e+00   4.1889156e-02   -1.3813870e-01
51   3.6000   1.0561110e+00   4.3573851e-02   -1.3707910e-01
52   3.7000   1.0584363e+00   4.5260381e-02   -1.3595359e-01
53   3.8000   1.0605797e+00   4.6965888e-02   -1.3486670e-01
