Buffet: No. AoA Cl l_bound ubound
37 3.0600 0.9890 [3.0600,3.0700]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9081 27.1030 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   3.2796151e-02   1.0172160e-02   -1.0171885e-01
 2   -1.7500   8.1358456e-02   1.0132466e-02   -1.0333920e-01
 3   -1.5000   1.2951270e-01   1.0123938e-02   -1.0491770e-01
 4   -1.2500   1.7733250e-01   1.0145100e-02   -1.0642970e-01
 5   -1.0000   2.2489517e-01   1.0194370e-02   -1.0785512e-01
 6   -0.7500   2.7226960e-01   1.0271369e-02   -1.0916958e-01
 7   -0.5000   3.1953562e-01   1.0375780e-02   -1.1034810e-01
 8   -0.2500   3.6679251e-01   1.0507320e-02   -1.1136320e-01
 9   0.0000   4.1414260e-01   1.0667195e-02   -1.1216780e-01
10   0.2500   4.6176050e-01   1.0864500e-02   -1.1267340e-01
11   0.5000   5.0970028e-01   1.1170860e-02   -1.1280070e-01
12   0.7500   5.5825290e-01   1.1688228e-02   -1.1267216e-01
13   1.0000   6.0773245e-01   1.2484993e-02   -1.1248500e-01
14   1.2500   6.5868706e-01   1.3613060e-02   -1.1253800e-01
15   1.5000   7.1145755e-01   1.5138890e-02   -1.1318780e-01
16   1.6000   7.3306352e-01   1.5876106e-02   -1.1369000e-01
17   1.7000   7.5498310e-01   1.6706182e-02   -1.1439480e-01
18   1.8000   7.7634612e-01   1.7612350e-02   -1.1514370e-01
19   1.9000   7.9826851e-01   1.8629680e-02   -1.1618450e-01
20   1.9081   7.9989697e-01   1.8712762e-02   -1.1624717e-01
21   2.0000   8.1931877e-01   1.9734030e-02   -1.1724313e-01
22   2.1000   8.4080684e-01   2.0965960e-02   -1.1860480e-01
23   2.2000   8.6112042e-01   2.2284750e-02   -1.1993234e-01
24   2.3000   8.8073707e-01   2.3706815e-02   -1.2131638e-01
25   2.4000   8.9956379e-01   2.5227624e-02   -1.2272730e-01
26   2.5000   9.1733832e-01   2.6833300e-02   -1.2408717e-01
27   2.6000   9.3290919e-01   2.8464628e-02   -1.2509580e-01
28   2.7000   9.4816772e-01   3.0191616e-02   -1.2619110e-01
29   2.8000   9.6100085e-01   3.1906619e-02   -1.2682903e-01
30   2.9000   9.7280346e-01   3.3658575e-02   -1.2733197e-01
31   3.0000   9.8338330e-01   3.5429642e-02   -1.2764293e-01
32   3.0100   9.8436722e-01   3.5607110e-02   -1.2766165e-01
33   3.0200   9.8533307e-01   3.5784340e-02   -1.2767690e-01
34   3.0300   9.8628180e-01   3.5961340e-02   -1.2768864e-01
35   3.0400   9.8720570e-01   3.6137782e-02   -1.2769530e-01
36   3.0500   9.8811560e-01   3.6314250e-02   -1.2769960e-01
37   3.0600   9.8902000e-01   3.6491110e-02   -1.2770370e-01
38   3.0700   9.8991184e-01   3.6667990e-02   -1.2770570e-01
39   3.0800   9.9078927e-01   3.6844750e-02   -1.2770510e-01
40   3.0900   9.9164164e-01   3.7020850e-02   -1.2769910e-01
41   3.1000   9.9247590e-01   3.7196639e-02   -1.2768950e-01
42   3.1100   9.9330121e-01   3.7372550e-02   -1.2767870e-01
43   3.1200   9.9411411e-01   3.7548455e-02   -1.2766590e-01
44   3.1400   9.9569860e-01   3.7899930e-02   -1.2763310e-01
45   3.1600   9.9720545e-01   3.8249630e-02   -1.2758430e-01
46   3.1800   9.9867809e-01   3.8600100e-02   -1.2753170e-01
47   3.2000   1.0001090e+00   3.8950804e-02   -1.2747290e-01
48   3.3000   1.0066600e+00   4.0706720e-02   -1.2708550e-01
49   3.4000   1.0121139e+00   4.2448709e-02   -1.2650624e-01
50   3.5000   1.0160340e+00   4.4149856e-02   -1.2565559e-01
51   3.6000   1.0202313e+00   4.5914211e-02   -1.2496107e-01
52   3.7000   1.0226538e+00   4.7608792e-02   -1.2392754e-01
53   3.8000   1.0255501e+00   4.9354717e-02   -1.2306463e-01
