Buffet: No. AoA Cl l_bound ubound
39 3.0200 1.0447 [3.0200,3.0200]
Cruise: No. AoA Cl/Cd Cl_error
17 1.6074 31.4803 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   1.0511954e-01   1.0020325e-02   -1.3396491e-01
 2   -1.7500   1.5312040e-01   1.0027641e-02   -1.3528220e-01
 3   -1.5000   2.0069605e-01   1.0063060e-02   -1.3657840e-01
 4   -1.2500   2.4794650e-01   1.0124940e-02   -1.3783320e-01
 5   -1.0000   2.9494190e-01   1.0213030e-02   -1.3902400e-01
 6   -0.7500   3.4175750e-01   1.0326730e-02   -1.4012850e-01
 7   -0.5000   3.8848266e-01   1.0465478e-02   -1.4112869e-01
 8   -0.2500   4.3518358e-01   1.0630340e-02   -1.4199677e-01
 9   0.0000   4.8196064e-01   1.0821310e-02   -1.4270510e-01
10   0.2500   5.2893863e-01   1.1039040e-02   -1.4322060e-01
11   0.5000   5.7626020e-01   1.1285630e-02   -1.4349120e-01
12   0.7500   6.2416209e-01   1.1572030e-02   -1.4346990e-01
13   1.0000   6.7294354e-01   1.1910530e-02   -1.4306360e-01
14   1.2500   7.2336357e-01   1.2347700e-02   -1.4215815e-01
15   1.5000   7.7644567e-01   1.3172678e-02   -1.4142454e-01
16   1.6000   7.9837993e-01   1.3687490e-02   -1.4142840e-01
17   1.6074   7.9998884e-01   1.3728410e-02   -1.4142910e-01
18   1.7000   8.2014439e-01   1.4319470e-02   -1.4158378e-01
19   1.8000   8.4242079e-01   1.5095480e-02   -1.4206680e-01
20   1.9000   8.6386957e-01   1.5992213e-02   -1.4263950e-01
21   2.0000   8.8547300e-01   1.7043510e-02   -1.4351860e-01
22   2.1000   9.0684196e-01   1.8238900e-02   -1.4462724e-01
23   2.2000   9.2705401e-01   1.9553970e-02   -1.4576520e-01
24   2.3000   9.4644608e-01   2.0993600e-02   -1.4698287e-01
25   2.4000   9.6390509e-01   2.2507190e-02   -1.4800040e-01
26   2.5000   9.8097873e-01   2.4137664e-02   -1.4914359e-01
27   2.6000   9.9602804e-01   2.5803647e-02   -1.4997677e-01
28   2.7000   1.0103770e+00   2.7551190e-02   -1.5081450e-01
29   2.8000   1.0225330e+00   2.9294140e-02   -1.5125290e-01
30   2.9000   1.0333360e+00   3.1054369e-02   -1.5147230e-01
31   2.9200   1.0353480e+00   3.1408530e-02   -1.5149310e-01
32   2.9400   1.0373160e+00   3.1763464e-02   -1.5150734e-01
33   2.9600   1.0392400e+00   3.2119019e-02   -1.5151484e-01
34   2.9700   1.0401770e+00   3.2296510e-02   -1.5151360e-01
35   2.9800   1.0411040e+00   3.2474160e-02   -1.5151090e-01
36   2.9900   1.0420230e+00   3.2652087e-02   -1.5150730e-01
37   3.0000   1.0429290e+00   3.2830000e-02   -1.5150141e-01
38   3.0100   1.0438250e+00   3.3008106e-02   -1.5149427e-01
39   3.0200   1.0447058e+00   3.3185982e-02   -1.5148390e-01
40   3.0300   1.0455710e+00   3.3363685e-02   -1.5147067e-01
41   3.0400   1.0464280e+00   3.3541638e-02   -1.5145647e-01
42   3.0500   1.0472732e+00   3.3719592e-02   -1.5144018e-01
43   3.0600   1.0481070e+00   3.3897531e-02   -1.5142190e-01
44   3.0700   1.0489270e+00   3.4075374e-02   -1.5140129e-01
45   3.0800   1.0497270e+00   3.4252644e-02   -1.5137610e-01
46   3.1000   1.0512861e+00   3.4606927e-02   -1.5131873e-01
47   3.2000   1.0581520e+00   3.6361494e-02   -1.5085303e-01
48   3.3000   1.0639270e+00   3.8117406e-02   -1.5022203e-01
49   3.4000   1.0688074e+00   3.9864705e-02   -1.4943919e-01
50   3.5000   1.0726261e+00   4.1597505e-02   -1.4850234e-01
51   3.6000   1.0758000e+00   4.3334353e-02   -1.4748156e-01
52   3.7000   1.0788262e+00   4.5099912e-02   -1.4652322e-01
53   3.8000   1.0806893e+00   4.6825554e-02   -1.4536151e-01
