Buffet: No. AoA Cl l_bound ubound
41 3.1400 1.0682 [3.1400,3.1400]
Cruise: No. AoA Cl/Cd Cl_error
16 1.5702 28.9176 0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   1.2246980e-01   1.0254181e-02   -1.3741660e-01
 2   -1.7500   1.7002201e-01   1.0276881e-02   -1.3868873e-01
 3   -1.5000   2.1713780e-01   1.0327718e-02   -1.3993390e-01
 4   -1.2500   2.6391622e-01   1.0404990e-02   -1.4112870e-01
 5   -1.0000   3.1044128e-01   1.0507980e-02   -1.4225183e-01
 6   -0.7500   3.5677794e-01   1.0637078e-02   -1.4327565e-01
 7   -0.5000   4.0301510e-01   1.0791500e-02   -1.4417707e-01
 8   -0.2500   4.4926668e-01   1.0971743e-02   -1.4493268e-01
 9   0.0000   4.9563775e-01   1.1179378e-02   -1.4549719e-01
10   0.2500   5.4231210e-01   1.1435704e-02   -1.4582610e-01
11   0.5000   5.8935792e-01   1.1815437e-02   -1.4594846e-01
12   0.7500   6.3691623e-01   1.2387789e-02   -1.4596630e-01
13   1.0000   6.8537509e-01   1.3203080e-02   -1.4607479e-01
14   1.2500   7.3458615e-01   1.4244260e-02   -1.4636882e-01
15   1.5000   7.8541170e-01   1.5419890e-02   -1.4663180e-01
16   1.5702   8.0020217e-01   1.5829260e-02   -1.4679570e-01
17   1.6000   8.0621849e-01   1.6011120e-02   -1.4682450e-01
18   1.7000   8.2722541e-01   1.6698250e-02   -1.4714120e-01
19   1.8000   8.4847647e-01   1.7490510e-02   -1.4763480e-01
20   1.9000   8.7000590e-01   1.8395680e-02   -1.4834830e-01
21   2.0000   8.9102183e-01   1.9401904e-02   -1.4914830e-01
22   2.1000   9.1158484e-01   2.0513810e-02   -1.5005873e-01
23   2.2000   9.3167015e-01   2.1734410e-02   -1.5108280e-01
24   2.3000   9.5116217e-01   2.3063560e-02   -1.5219890e-01
25   2.4000   9.6996421e-01   2.4492458e-02   -1.5336660e-01
26   2.5000   9.8709852e-01   2.5993672e-02   -1.5435693e-01
27   2.6000   1.0033486e+00   2.7581988e-02   -1.5533400e-01
28   2.7000   1.0186680e+00   2.9243280e-02   -1.5624247e-01
29   2.8000   1.0321690e+00   3.0944156e-02   -1.5687677e-01
30   2.9000   1.0442629e+00   3.2675744e-02   -1.5728273e-01
31   3.0000   1.0551090e+00   3.4439071e-02   -1.5749618e-01
32   3.0200   1.0571417e+00   3.4795017e-02   -1.5751761e-01
33   3.0400   1.0591160e+00   3.5151298e-02   -1.5752828e-01
34   3.0600   1.0610350e+00   3.5507911e-02   -1.5752890e-01
35   3.0800   1.0629148e+00   3.5865578e-02   -1.5752367e-01
36   3.0900   1.0638338e+00   3.6044510e-02   -1.5751722e-01
37   3.1000   1.0647347e+00   3.6223287e-02   -1.5750700e-01
38   3.1100   1.0656268e+00   3.6402376e-02   -1.5749560e-01
39   3.1200   1.0665100e+00   3.6581750e-02   -1.5748296e-01
40   3.1300   1.0673808e+00   3.6761140e-02   -1.5746791e-01
41   3.1400   1.0682465e+00   3.6941027e-02   -1.5745275e-01
42   3.1500   1.0690932e+00   3.7120657e-02   -1.5743355e-01
43   3.1600   1.0699290e+00   3.7300405e-02   -1.5741247e-01
44   3.1700   1.0707536e+00   3.7480223e-02   -1.5738933e-01
45   3.1800   1.0715690e+00   3.7660256e-02   -1.5736487e-01
46   3.1900   1.0723787e+00   3.7840603e-02   -1.5733978e-01
47   3.2000   1.0731750e+00   3.8020905e-02   -1.5731222e-01
48   3.3000   1.0805230e+00   3.9823940e-02   -1.5692340e-01
49   3.4000   1.0862977e+00   4.1594848e-02   -1.5620767e-01
50   3.5000   1.0909836e+00   4.3365565e-02   -1.5531387e-01
51   3.6000   1.0945364e+00   4.5099338e-02   -1.5418649e-01
52   3.7000   1.0974918e+00   4.6860142e-02   -1.5302346e-01
53   3.8000   1.0988916e+00   4.8551749e-02   -1.5153624e-01
54   3.9000   1.1002568e+00   5.0275453e-02   -1.5012110e-01
55   4.0000   1.1007037e+00   5.1968757e-02   -1.4857897e-01
56   4.1000   1.1006732e+00   5.3658759e-02   -1.4700703e-01
