Buffet: No. AoA Cl l_bound ubound
42 3.2300 1.0478 [3.2300,3.2300]
Cruise: No. AoA Cl/Cd Cl_error
19 1.8441 31.0420 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   5.8552051e-02   1.0134610e-02   -1.1966890e-01
 2   -1.7500   1.0692903e-01   1.0110850e-02   -1.2138219e-01
 3   -1.5000   1.5485072e-01   1.0117090e-02   -1.2305570e-01
 4   -1.2500   2.0237760e-01   1.0151859e-02   -1.2466450e-01
 5   -1.0000   2.4959262e-01   1.0214330e-02   -1.2619480e-01
 6   -0.7500   2.9656759e-01   1.0303128e-02   -1.2762840e-01
 7   -0.5000   3.4336217e-01   1.0418384e-02   -1.2894458e-01
 8   -0.2500   3.9005229e-01   1.0559980e-02   -1.3012372e-01
 9   0.0000   4.3670960e-01   1.0728050e-02   -1.3113880e-01
10   0.2500   4.8342650e-01   1.0923030e-02   -1.3195850e-01
11   0.5000   5.3029507e-01   1.1146050e-02   -1.3253410e-01
12   0.7500   5.7743708e-01   1.1399058e-02   -1.3278570e-01
13   1.0000   6.2504698e-01   1.1691930e-02   -1.3250990e-01
14   1.2500   6.7363010e-01   1.2077670e-02   -1.3144240e-01
15   1.5000   7.2457571e-01   1.2602240e-02   -1.2971110e-01
16   1.6000   7.4577750e-01   1.2903416e-02   -1.2901420e-01
17   1.7000   7.6763186e-01   1.3285934e-02   -1.2846070e-01
18   1.8000   7.8998596e-01   1.3766700e-02   -1.2812580e-01
19   1.8441   7.9997472e-01   1.4014080e-02   -1.2806450e-01
20   1.9000   8.1280992e-01   1.4359450e-02   -1.2808599e-01
21   2.0000   8.3605608e-01   1.5076950e-02   -1.2839720e-01
22   2.1000   8.5901886e-01   1.5933500e-02   -1.2899906e-01
23   2.2000   8.8224667e-01   1.6944880e-02   -1.2999940e-01
24   2.3000   9.0456367e-01   1.8106120e-02   -1.3118513e-01
25   2.4000   9.2531307e-01   1.9399327e-02   -1.3238936e-01
26   2.5000   9.4624186e-01   2.0870940e-02   -1.3395136e-01
27   2.6000   9.6496702e-01   2.2438710e-02   -1.3531125e-01
28   2.7000   9.8260441e-01   2.4122350e-02   -1.3666620e-01
29   2.8000   9.9773072e-01   2.5843170e-02   -1.3762890e-01
30   2.9000   1.0123269e+00   2.7663855e-02   -1.3864828e-01
31   3.0000   1.0245670e+00   2.9483244e-02   -1.3922940e-01
32   3.1000   1.0354900e+00   3.1329828e-02   -1.3960810e-01
33   3.1200   1.0375240e+00   3.1701642e-02   -1.3966033e-01
34   3.1400   1.0395063e+00   3.2073856e-02   -1.3970368e-01
35   3.1600   1.0414280e+00   3.2446146e-02   -1.3973607e-01
36   3.1700   1.0423766e+00   3.2632877e-02   -1.3975112e-01
37   3.1800   1.0433120e+00   3.2819715e-02   -1.3976393e-01
38   3.1900   1.0442304e+00   3.3006347e-02   -1.3977336e-01
39   3.2000   1.0451310e+00   3.3192748e-02   -1.3977925e-01
40   3.2100   1.0460267e+00   3.3379618e-02   -1.3978495e-01
41   3.2200   1.0469106e+00   3.3566612e-02   -1.3978878e-01
42   3.2300   1.0477835e+00   3.3753764e-02   -1.3979090e-01
43   3.2400   1.0486449e+00   3.3941015e-02   -1.3979111e-01
44   3.2500   1.0494900e+00   3.4128077e-02   -1.3978814e-01
45   3.2600   1.0503247e+00   3.4315259e-02   -1.3978347e-01
46   3.2700   1.0511490e+00   3.4502545e-02   -1.3977715e-01
47   3.2800   1.0519670e+00   3.4690162e-02   -1.3977020e-01
48   3.3000   1.0535610e+00   3.5064916e-02   -1.3974807e-01
49   3.4000   1.0609330e+00   3.6942105e-02   -1.3953931e-01
50   3.5000   1.0672903e+00   3.8816419e-02   -1.3915722e-01
51   3.6000   1.0721390e+00   4.0651869e-02   -1.3847518e-01
52   3.7000   1.0764060e+00   4.2510666e-02   -1.3775132e-01
53   3.8000   1.0794120e+00   4.4321325e-02   -1.3677630e-01
54   3.9000   1.0827207e+00   4.6201587e-02   -1.3597916e-01
55   4.0000   1.0845741e+00   4.8016030e-02   -1.3489432e-01
