Buffet: No. AoA Cl l_bound ubound
41 3.1400 1.0349 [3.1300,3.1400]
Cruise: No. AoA Cl/Cd Cl_error
18 1.7423 31.7289 0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   8.5089460e-02   1.0169401e-02   -1.2481720e-01
 2   -1.7500   1.3294428e-01   1.0167510e-02   -1.2637200e-01
 3   -1.5000   1.8038706e-01   1.0194220e-02   -1.2790250e-01
 4   -1.2500   2.2748389e-01   1.0248290e-02   -1.2938320e-01
 5   -1.0000   2.7431437e-01   1.0329090e-02   -1.3079705e-01
 6   -0.7500   3.2094147e-01   1.0435980e-02   -1.3212340e-01
 7   -0.5000   3.6745240e-01   1.0568390e-02   -1.3334740e-01
 8   -0.2500   4.1390514e-01   1.0727061e-02   -1.3444400e-01
 9   0.0000   4.6039825e-01   1.0912220e-02   -1.3539270e-01
10   0.2500   5.0705420e-01   1.1124617e-02   -1.3616789e-01
11   0.5000   5.5402350e-01   1.1378230e-02   -1.3675600e-01
12   0.7500   6.0140452e-01   1.1707310e-02   -1.3717290e-01
13   1.0000   6.4929154e-01   1.2139400e-02   -1.3742350e-01
14   1.2500   6.9765016e-01   1.2688650e-02   -1.3738098e-01
15   1.5000   7.4794690e-01   1.2973920e-02   -1.3589629e-01
16   1.6000   7.6916594e-01   1.3248890e-02   -1.3548900e-01
17   1.7000   7.9075112e-01   1.3667090e-02   -1.3531470e-01
18   1.7423   8.0005258e-01   1.3889900e-02   -1.3533340e-01
19   1.8000   8.1264087e-01   1.4230090e-02   -1.3539560e-01
20   1.9000   8.3434900e-01   1.4935240e-02   -1.3568047e-01
21   2.0000   8.5563506e-01   1.5777670e-02   -1.3614400e-01
22   2.1000   8.7644213e-01   1.6755850e-02   -1.3678337e-01
23   2.2000   8.9674055e-01   1.7868800e-02   -1.3759360e-01
24   2.3000   9.1649036e-01   1.9113404e-02   -1.3855830e-01
25   2.4000   9.3557188e-01   2.0482400e-02   -1.3963610e-01
26   2.5000   9.5286585e-01   2.1928968e-02   -1.4054642e-01
27   2.6000   9.6947608e-01   2.3480600e-02   -1.4152310e-01
28   2.7000   9.8450851e-01   2.5086861e-02   -1.4229880e-01
29   2.8000   9.9876474e-01   2.6776120e-02   -1.4307391e-01
30   2.9000   1.0109040e+00   2.8467570e-02   -1.4346930e-01
31   3.0000   1.0217420e+00   3.0183620e-02   -1.4366340e-01
32   3.0200   1.0237680e+00   3.0529670e-02   -1.4368095e-01
33   3.0400   1.0257290e+00   3.0875680e-02   -1.4368680e-01
34   3.0600   1.0276523e+00   3.1222808e-02   -1.4368760e-01
35   3.0800   1.0295320e+00   3.1570670e-02   -1.4368180e-01
36   3.0900   1.0304490e+00   3.1744489e-02   -1.4367450e-01
37   3.1000   1.0313510e+00   3.1918284e-02   -1.4366470e-01
38   3.1100   1.0322470e+00   3.2092511e-02   -1.4365460e-01
39   3.1200   1.0331394e+00   3.2267215e-02   -1.4364446e-01
40   3.1300   1.0340180e+00   3.2441894e-02   -1.4363180e-01
41   3.1400   1.0348780e+00   3.2616298e-02   -1.4361559e-01
42   3.1500   1.0357240e+00   3.2790525e-02   -1.4359648e-01
43   3.1600   1.0365650e+00   3.2965131e-02   -1.4357710e-01
44   3.1700   1.0373970e+00   3.3139929e-02   -1.4355650e-01
45   3.1800   1.0382150e+00   3.3314626e-02   -1.4353341e-01
46   3.1900   1.0390201e+00   3.3489226e-02   -1.4350790e-01
47   3.2000   1.0398080e+00   3.3663448e-02   -1.4347869e-01
48   3.3000   1.0468809e+00   3.5394274e-02   -1.4303426e-01
49   3.4000   1.0525008e+00   3.7104516e-02   -1.4232656e-01
50   3.5000   1.0573152e+00   3.8819844e-02   -1.4149717e-01
51   3.6000   1.0606487e+00   4.0487553e-02   -1.4039098e-01
52   3.7000   1.0640810e+00   4.2213995e-02   -1.3939942e-01
53   3.8000   1.0662970e+00   4.3897978e-02   -1.3820445e-01
54   3.9000   1.0678834e+00   4.5580187e-02   -1.3694169e-01
55   4.0000   1.0693647e+00   4.7283734e-02   -1.3572625e-01
