Buffet: No. AoA Cl l_bound ubound
43 3.3300 0.9658 [3.3300,3.3300]
Cruise: No. AoA Cl/Cd Cl_error
24 2.3019 27.0257 -0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   -4.4212047e-02   1.0187840e-02   -8.6925723e-02
 2   -1.7500   4.6450675e-03   1.0105045e-02   -8.8540316e-02
 3   -1.5000   5.3086721e-02   1.0054340e-02   -9.0150724e-02
 4   -1.2500   1.0115040e-01   1.0034741e-02   -9.1721248e-02
 5   -1.0000   1.4892540e-01   1.0044012e-02   -9.3234615e-02
 6   -0.7500   1.9647411e-01   1.0080922e-02   -9.4667689e-02
 7   -0.5000   2.4385320e-01   1.0145803e-02   -9.5996178e-02
 8   -0.2500   2.9114560e-01   1.0237240e-02   -9.7199333e-02
 9   0.0000   3.3843211e-01   1.0355430e-02   -9.8249513e-02
10   0.2500   3.8579800e-01   1.0501380e-02   -9.9109780e-02
11   0.5000   4.3337775e-01   1.0675540e-02   -9.9731524e-02
12   0.7500   4.8138096e-01   1.0887240e-02   -1.0002350e-01
13   1.0000   5.2996180e-01   1.1207080e-02   -9.9941148e-02
14   1.2500   5.7942309e-01   1.1725490e-02   -9.9603599e-02
15   1.5000   6.3002059e-01   1.2554160e-02   -9.9138299e-02
16   1.6000   6.5076516e-01   1.3011680e-02   -9.9019174e-02
17   1.7000   6.7161455e-01   1.3556000e-02   -9.8964729e-02
18   1.8000   6.9282885e-01   1.4192310e-02   -9.9042659e-02
19   1.9000   7.1414596e-01   1.4930680e-02   -9.9255822e-02
20   2.0000   7.3561171e-01   1.5767290e-02   -9.9623842e-02
21   2.1000   7.5702696e-01   1.6715550e-02   -1.0015590e-01
22   2.2000   7.7865910e-01   1.7776167e-02   -1.0090873e-01
23   2.3000   7.9959757e-01   1.8938020e-02   -1.0173150e-01
24   2.3019   7.9998335e-01   1.8961180e-02   -1.0174722e-01
25   2.4000   8.2039875e-01   2.0219366e-02   -1.0274301e-01
26   2.5000   8.4111163e-01   2.1621145e-02   -1.0395570e-01
27   2.6000   8.6085770e-01   2.3117325e-02   -1.0518940e-01
28   2.7000   8.7928260e-01   2.4689510e-02   -1.0635110e-01
29   2.8000   8.9698399e-01   2.6354463e-02   -1.0755979e-01
30   2.9000   9.1369183e-01   2.8093552e-02   -1.0872420e-01
31   3.0000   9.2804160e-01   2.9833270e-02   -1.0951080e-01
32   3.1000   9.4162820e-01   3.1632900e-02   -1.1025880e-01
33   3.2000   9.5304952e-01   3.3415100e-02   -1.1063630e-01
34   3.2200   9.5514860e-01   3.3771740e-02   -1.1068230e-01
35   3.2400   9.5720565e-01   3.4128920e-02   -1.1072260e-01
36   3.2600   9.5919753e-01   3.4485720e-02   -1.1075210e-01
37   3.2700   9.6017438e-01   3.4664202e-02   -1.1076390e-01
38   3.2800   9.6114082e-01   3.4842817e-02   -1.1077435e-01
39   3.2900   9.6209728e-01   3.5021614e-02   -1.1078357e-01
40   3.3000   9.6303515e-01   3.5200157e-02   -1.1078950e-01
41   3.3100   9.6396068e-01   3.5378647e-02   -1.1079340e-01
42   3.3200   9.6486886e-01   3.5556862e-02   -1.1079410e-01
43   3.3300   9.6576448e-01   3.5735080e-02   -1.1079291e-01
44   3.3400   9.6664761e-01   3.5913347e-02   -1.1078993e-01
45   3.3500   9.6752296e-01   3.6091904e-02   -1.1078635e-01
46   3.3600   9.6838277e-01   3.6270251e-02   -1.1078003e-01
47   3.3700   9.6922917e-01   3.6448515e-02   -1.1077156e-01
48   3.3800   9.7006006e-01   3.6626482e-02   -1.1076013e-01
49   3.4000   9.7168419e-01   3.6982258e-02   -1.1073143e-01
50   3.5000   9.7891281e-01   3.8748522e-02   -1.1043973e-01
51   3.6000   9.8428437e-01   4.0466967e-02   -1.0982400e-01
52   3.7000   9.8961364e-01   4.2236372e-02   -1.0930226e-01
53   3.8000   9.9341556e-01   4.3964984e-02   -1.0852416e-01
54   3.9000   9.9679650e-01   4.5708781e-02   -1.0774847e-01
55   4.0000   9.9894062e-01   4.7417781e-02   -1.0678911e-01
56   4.1000   1.0001707e+00   4.9099659e-02   -1.0573107e-01
