Buffet: No. AoA Cl l_bound ubound
38 3.0900 0.9920 [3.0900,3.0900]
Cruise: No. AoA Cl/Cd Cl_error
20 1.9177 31.8714 0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   3.8799800e-02   1.0022610e-02   -1.1319103e-01
 2   -1.7500   8.7162910e-02   9.9957063e-03   -1.1461743e-01
 3   -1.5000   1.3509760e-01   9.9983888e-03   -1.1604200e-01
 4   -1.2500   1.8270040e-01   1.0028570e-02   -1.1744300e-01
 5   -1.0000   2.3004685e-01   1.0085370e-02   -1.1879890e-01
 6   -0.7500   2.7719430e-01   1.0168985e-02   -1.2008430e-01
 7   -0.5000   3.2423170e-01   1.0278270e-02   -1.2128370e-01
 8   -0.2500   3.7124458e-01   1.0413590e-02   -1.2237790e-01
 9   0.0000   4.1829530e-01   1.0575690e-02   -1.2333650e-01
10   0.2500   4.6551730e-01   1.0764920e-02   -1.2413860e-01
11   0.5000   5.1306753e-01   1.0986382e-02   -1.2475400e-01
12   0.7500   5.6110740e-01   1.1269970e-02   -1.2519700e-01
13   1.0000   6.0977770e-01   1.1653580e-02   -1.2550550e-01
14   1.2500   6.5904090e-01   1.2182610e-02   -1.2566050e-01
15   1.5000   7.0958040e-01   1.2539870e-02   -1.2460100e-01
16   1.6000   7.3081118e-01   1.2787690e-02   -1.2419566e-01
17   1.7000   7.5254012e-01   1.3172170e-02   -1.2402280e-01
18   1.8000   7.7428616e-01   1.3696810e-02   -1.2404210e-01
19   1.9000   7.9615024e-01   1.4371980e-02   -1.2431510e-01
20   1.9177   8.0001447e-01   1.4508670e-02   -1.2439070e-01
21   2.0000   8.1779651e-01   1.5197810e-02   -1.2480735e-01
22   2.1000   8.3899320e-01   1.6171189e-02   -1.2548639e-01
23   2.2000   8.5964437e-01   1.7289700e-02   -1.2633410e-01
24   2.3000   8.7973701e-01   1.8549710e-02   -1.2733710e-01
25   2.4000   8.9872935e-01   1.9927444e-02   -1.2836037e-01
26   2.5000   9.1608025e-01   2.1388753e-02   -1.2926428e-01
27   2.6000   9.3309210e-01   2.2967890e-02   -1.3028770e-01
28   2.7000   9.4788614e-01   2.4579082e-02   -1.3100060e-01
29   2.8000   9.6114570e-01   2.6224140e-02   -1.3149690e-01
30   2.9000   9.7301340e-01   2.7896972e-02   -1.3179960e-01
31   3.0000   9.8358530e-01   2.9591180e-02   -1.3191960e-01
32   3.0200   9.8554420e-01   2.9931570e-02   -1.3192030e-01
33   3.0400   9.8746144e-01   3.0272760e-02   -1.3191570e-01
34   3.0500   9.8839920e-01   3.0443320e-02   -1.3190980e-01
35   3.0600   9.8931970e-01   3.0613640e-02   -1.3190070e-01
36   3.0700   9.9022790e-01   3.0784030e-02   -1.3188960e-01
37   3.0800   9.9112900e-01   3.0954790e-02   -1.3187810e-01
38   3.0900   9.9202000e-01   3.1125730e-02   -1.3186530e-01
39   3.1000   9.9290071e-01   3.1296810e-02   -1.3185110e-01
40   3.1100   9.9376350e-01   3.1467560e-02   -1.3183340e-01
41   3.1200   9.9461270e-01   3.1638250e-02   -1.3181340e-01
42   3.1300   9.9545710e-01   3.1809400e-02   -1.3179350e-01
43   3.1400   9.9629180e-01   3.1980700e-02   -1.3177230e-01
44   3.1500   9.9712180e-01   3.2152400e-02   -1.3175110e-01
45   3.1600   9.9793619e-01   3.2323829e-02   -1.3172700e-01
46   3.1800   9.9951835e-01   3.2665866e-02   -1.3167000e-01
47   3.2000   1.0010710e+00   3.3008720e-02   -1.3161020e-01
48   3.3000   1.0080340e+00   3.4712149e-02   -1.3117330e-01
49   3.4000   1.0133130e+00   3.6376260e-02   -1.3043860e-01
50   3.5000   1.0184229e+00   3.8087789e-02   -1.2976288e-01
51   3.6000   1.0216506e+00   3.9726355e-02   -1.2873846e-01
52   3.7000   1.0254806e+00   4.1448921e-02   -1.2795167e-01
53   3.8000   1.0278797e+00   4.3117102e-02   -1.2691995e-01
