Buffet: No. AoA Cl l_bound ubound
40 3.1200 1.0080 [3.1200,3.1200]
Cruise: No. AoA Cl/Cd Cl_error
19 1.8957 30.6687 0.0000
No.   AoA         CL              CD               CM
 1   -2.0000   4.3213985e-02   9.9560081e-03   -1.0725665e-01
 2   -1.7500   9.1498546e-02   9.9230778e-03   -1.0894837e-01
 3   -1.5000   1.3937490e-01   9.9202778e-03   -1.1060071e-01
 4   -1.2500   1.8691910e-01   9.9457595e-03   -1.1219430e-01
 5   -1.0000   2.3422198e-01   9.9980413e-03   -1.1371680e-01
 6   -0.7500   2.8133170e-01   1.0076947e-02   -1.1514430e-01
 7   -0.5000   3.2832575e-01   1.0181960e-02   -1.1645980e-01
 8   -0.2500   3.7530032e-01   1.0312700e-02   -1.1764752e-01
 9   0.0000   4.2232770e-01   1.0470160e-02   -1.1867850e-01
10   0.2500   4.6953784e-01   1.0654510e-02   -1.1952740e-01
11   0.5000   5.1709250e-01   1.0868630e-02   -1.2015230e-01
12   0.7500   5.6518380e-01   1.1140710e-02   -1.2053420e-01
13   1.0000   6.1402309e-01   1.1524010e-02   -1.2072197e-01
14   1.2500   6.6363510e-01   1.2070120e-02   -1.2078120e-01
15   1.5000   7.1483256e-01   1.2678760e-02   -1.2025570e-01
16   1.6000   7.3608490e-01   1.3059180e-02   -1.2011211e-01
17   1.7000   7.5760744e-01   1.3557140e-02   -1.2010960e-01
18   1.8000   7.7925863e-01   1.4181360e-02   -1.2027590e-01
19   1.8957   8.0003094e-01   1.4903520e-02   -1.2061980e-01
20   1.9000   8.0093264e-01   1.4938240e-02   -1.2063390e-01
21   2.0000   8.2247898e-01   1.5831030e-02   -1.2118480e-01
22   2.1000   8.4387711e-01   1.6862803e-02   -1.2194340e-01
23   2.2000   8.6491417e-01   1.8030570e-02   -1.2287910e-01
24   2.3000   8.8538103e-01   1.9328464e-02   -1.2395170e-01
25   2.4000   9.0516968e-01   2.0750426e-02   -1.2513170e-01
26   2.5000   9.2424740e-01   2.2290727e-02   -1.2639620e-01
27   2.6000   9.4125764e-01   2.3881553e-02   -1.2740201e-01
28   2.7000   9.5772489e-01   2.5575245e-02   -1.2849070e-01
29   2.8000   9.7180576e-01   2.7270275e-02   -1.2917537e-01
30   2.9000   9.8466321e-01   2.9004657e-02   -1.2971367e-01
31   3.0000   9.9618250e-01   3.0760536e-02   -1.3006000e-01
32   3.0200   9.9830433e-01   3.1112268e-02   -1.3010040e-01
33   3.0400   1.0003525e+00   3.1463324e-02   -1.3012780e-01
34   3.0600   1.0023583e+00   3.1815253e-02   -1.3015004e-01
35   3.0700   1.0033357e+00   3.1990973e-02   -1.3015663e-01
36   3.0800   1.0042850e+00   3.2165858e-02   -1.3015731e-01
37   3.0900   1.0052238e+00   3.2340863e-02   -1.3015651e-01
38   3.1000   1.0061500e+00   3.2515938e-02   -1.3015399e-01
39   3.1100   1.0070664e+00   3.2691199e-02   -1.3015024e-01
40   3.1200   1.0079670e+00   3.2866300e-02   -1.3014374e-01
41   3.1300   1.0088416e+00   3.3040631e-02   -1.3013181e-01
42   3.1400   1.0097020e+00   3.3214830e-02   -1.3011742e-01
43   3.1500   1.0105530e+00   3.3389201e-02   -1.3010189e-01
44   3.1600   1.0113976e+00   3.3563896e-02   -1.3008594e-01
45   3.1700   1.0122250e+00   3.3738380e-02   -1.3006710e-01
46   3.1800   1.0130360e+00   3.3912688e-02   -1.3004553e-01
47   3.2000   1.0146116e+00   3.4260726e-02   -1.2999427e-01
48   3.3000   1.0219050e+00   3.6007141e-02   -1.2966210e-01
49   3.4000   1.0281237e+00   3.7747403e-02   -1.2916344e-01
50   3.5000   1.0325550e+00   3.9433069e-02   -1.2834520e-01
51   3.6000   1.0374876e+00   4.1202605e-02   -1.2775414e-01
52   3.7000   1.0404130e+00   4.2889143e-02   -1.2677450e-01
53   3.8000   1.0433328e+00   4.4614564e-02   -1.2588869e-01
